"participant_id","list_number","verb","verb_type","sentence_pair_id","sentence_1","sentence_2","same_sense","dissimilarity","response_time_ms"
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"kill","result","pair015","The couple killed the evening.","The joke killed the evening.",0,2,5666
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"open","result","pair016","The chairperson opened the meeting.","The farmer opened the gate.",0,89,4818
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"fold","result","pair017","The baker folded the flour.","The chef folded the eggs.",1,15,3281
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"push","manner","pair018","The politician pushed the policy.","The shopper pushed the cart.",0,87,2819
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"push","manner","pair019","The pilot pushed the button.","The shopper pushed the cart.",1,45,4533
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"break","result","pair020","The doctor broke the news.","The burglar broke the window.",0,87,2564
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"hit","manner","pair021","The investor hit the goal.","The batter hit the ball.",0,80,3096
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"kill","result","pair022","The mistake killed the proposal.","The cat killed the mouse.",1,78,3059
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"cover","result","pair023","The channel covered the story.","The snow covered the footprints.",0,84,3582
"0d923704-ec20-4d76-b445-f73442e5c927",9,"smear","manner","pair024","The baker smeared the frosting.","The artist smeared the paint.",1,16,2688
"0d923704-ec20-4d76-b445-f73442e5c927",9,"fill","result","pair025","The secretary filled the schedule.","The waiter filled the glass.",1,65,39947
"0d923704-ec20-4d76-b445-f73442e5c927",9,"clear","result","pair026","The horse cleared the jump.","The hiker cleared the obstacle.",1,11,3242
"0d923704-ec20-4d76-b445-f73442e5c927",9,"open","result","pair027","The consultant opened the discussion.","The chairperson opened the meeting.",1,0,4583
"0d923704-ec20-4d76-b445-f73442e5c927",9,"bump","manner","pair028","The gardener bumped the statue.","The ball bumped the couch.",0,13,3338
"0d923704-ec20-4d76-b445-f73442e5c927",9,"hit","manner","pair029","The hurricane hit the coastline.","The solution hit the inventor.",0,92,3373
"0d923704-ec20-4d76-b445-f73442e5c927",9,"fill","result","pair030","The love filled the void.","The farmer filled the bucket.",0,96,3027
"0d923704-ec20-4d76-b445-f73442e5c927",9,"break","result","pair031","The company broke the law.","The journalist broke the story.",0,100,2460
"0d923704-ec20-4d76-b445-f73442e5c927",9,"cover","result","pair032","The snow covered the footprints.","The insurance covered the damage.",0,91,3456
"0d923704-ec20-4d76-b445-f73442e5c927",9,"bump","manner","pair033","The teacher bumped the deadline.","The gardener bumped the statue.",1,94,3658
"0d923704-ec20-4d76-b445-f73442e5c927",9,"clear","result","pair034","The bookkeeper cleared the payment.","The waiter cleared the table.",0,94,2364
"0d923704-ec20-4d76-b445-f73442e5c927",9,"hit","manner","pair035","The investor hit the goal.","The hurricane hit the coastline.",1,98,7322
"0d923704-ec20-4d76-b445-f73442e5c927",9,"close","result","pair036","The author closed the chapter.","The chauffeur closed the door.",1,96,4278
"0d923704-ec20-4d76-b445-f73442e5c927",9,"close","result","pair037","The executive closed the deal.","The author closed the chapter.",0,97,2821
"0d923704-ec20-4d76-b445-f73442e5c927",9,"kill","result","pair038","The couple killed the evening.","The traveler killed the afternoon.",1,0,3421
"0d923704-ec20-4d76-b445-f73442e5c927",9,"kill","result","pair039","The traveler killed the afternoon.","The joke killed the evening.",0,41,3811
"0d923704-ec20-4d76-b445-f73442e5c927",9,"pull","manner","pair040","The scandal pulled the reporters.","The advertisement pulled the customers.",1,84,9018
"0d923704-ec20-4d76-b445-f73442e5c927",9,"kill","result","pair041","The team killed the rivals.","The criminal killed the victim.",0,100,2778
"0d923704-ec20-4d76-b445-f73442e5c927",9,"fold","result","pair042","The cleaner folded the clothes.","The baker folded the flour.",0,16,2893
"0d923704-ec20-4d76-b445-f73442e5c927",9,"fold","result","pair043","The manager folded the project.","The founder folded the company.",1,35,3533
"0d923704-ec20-4d76-b445-f73442e5c927",9,"push","manner","pair044","The artwork pushed the boundaries.","The pilot pushed the button.",0,98,2571
"0d923704-ec20-4d76-b445-f73442e5c927",9,"cover","result","pair045","The writer covered the election.","The snow covered the footprints.",0,98,2960
"0d923704-ec20-4d76-b445-f73442e5c927",9,"push","manner","pair046","The politician pushed the policy.","The company pushed the product.",1,0,3540
"0d923704-ec20-4d76-b445-f73442e5c927",9,"shoot","manner","pair047","The robber shot the victim.","The hunter shot the deer.",1,0,2236
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"fill","result","pair008","The donations filled the need.","The farmer filled the bucket.",0,95,7469
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"clear","result","pair005","The horse cleared the jump.","The worker cleared the rubble.",0,100,3931
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"break","result","pair012","The president broke the promise.","The company broke the law.",1,56,5949
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"kill","result","pair003","The business killed the competition.","The mistake killed the proposal.",0,93,8085
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"pull","manner","pair004","The business pulled the service.","The climber pulled the rope.",0,100,6957
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"hit","manner","pair010","The solution hit the inventor.","The idea hit the researcher.",1,4,6061
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"fold","result","pair006","The manager folded the project.","The chef folded the eggs.",0,100,3743
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"bump","manner","pair007","The dean bumped the meeting.","The gardener bumped the statue.",1,100,3373
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"close","result","pair013","The lawyer closed the case.","The author closed the chapter.",0,19,5267
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"shoot","manner","pair002","The hunter shot the deer.","The technician shot the fireworks.",0,95,5265
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"kill","result","pair022","The mistake killed the proposal.","The cat killed the mouse.",1,91,5081
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"cover","result","pair023","The channel covered the story.","The snow covered the footprints.",0,100,5617
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"hit","manner","pair021","The investor hit the goal.","The batter hit the ball.",0,86,3547
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"fold","result","pair017","The baker folded the flour.","The chef folded the eggs.",1,4,4979
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"push","manner","pair019","The pilot pushed the button.","The shopper pushed the cart.",1,31,4168
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"kill","result","pair015","The couple killed the evening.","The joke killed the evening.",0,73,5734
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"break","result","pair020","The doctor broke the news.","The burglar broke the window.",0,95,3643
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"pull","manner","pair014","The advertisement pulled the customers.","The worker pulled the lever.",0,98,4755
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"clear","result","pair011","The waiter cleared the table.","The worker cleared the rubble.",1,17,3229
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"push","manner","pair018","The politician pushed the policy.","The shopper pushed the cart.",0,100,4252
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"open","result","pair016","The chairperson opened the meeting.","The farmer opened the gate.",0,100,3329
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"shoot","manner","pair001","The director shot the scene.","The athlete shot the ball.",0,91,6937
"5e23dbf7-8765-49a2-9e97-a464ee2f0c10",5,"hit","manner","pair009","The traveler hit the delay.","The hurricane hit the coastline.",1,71,12327
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"break","result","pair048","The burglar broke the window.","The guest broke the plate.",1,48,12712
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"kill","result","pair049","The team killed the rivals.","The mistake killed the proposal.",0,92,11799
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"fold","result","pair050","The founder folded the company.","The chef folded the eggs.",0,100,7151
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"smear","manner","pair051","The article smeared the celebrity.","The baker smeared the frosting.",0,100,5519
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"close","result","pair052","The author closed the chapter.","The presenter closed the speech.",1,27,7528
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"break","result","pair053","The president broke the promise.","The guest broke the plate.",0,100,5271
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"hit","manner","pair054","The arrow hit the target.","The child hit the pillow.",0,18,12087
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"clear","result","pair055","The hiker cleared the obstacle.","The worker cleared the rubble.",0,55,15039
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"hit","manner","pair056","The idea hit the researcher.","The batter hit the ball.",1,86,5392
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"kill","result","pair057","The traveler killed the afternoon.","The team killed the rivals.",0,87,9783
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"bump","manner","pair058","The teacher bumped the deadline.","The dean bumped the meeting.",1,1,6736
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"push","manner","pair059","The company pushed the product.","The shopper pushed the cart.",0,67,8375
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"hit","manner","pair060","The traveler hit the delay.","The batter hit the ball.",0,86,6664
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"pull","manner","pair061","The regulators pulled the product.","The climber pulled the rope.",0,98,9959
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"fill","result","pair062","The festival filled the weekend.","The waiter filled the glass.",1,22,12335
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"shoot","manner","pair063","The photographer shot the wedding.","The athlete shot the ball.",0,95,6703
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"bump","manner","pair064","The waiter bumped the table.","The ball bumped the couch.",0,9,6055
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"cover","result","pair065","The snow covered the footprints.","The nurse covered the wound.",1,18,6751
"78b93190-3adc-44bd-a7ee-784b98d1a837",1,"fill","result","pair066","The love filled the void.","The festival filled the weekend.",0,32,6383
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"push","manner","pair067","The company pushed the product.","The athlete pushed the limit.",0,92,4243
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"smear","manner","pair068","The journalist smeared the business.","The baker smeared the frosting.",0,94,4797
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"break","result","pair069","The president broke the promise.","The journalist broke the story.",0,73,5907
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"clear","result","pair070","The hiker cleared the obstacle.","The officer cleared the request.",0,64,8083
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"kill","result","pair071","The joke killed the evening.","The cat killed the mouse.",1,100,4563
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"fold","result","pair072","The founder folded the company.","The child folded the paper.",0,86,5463
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"hit","manner","pair073","The arrow hit the target.","The solution hit the inventor.",0,95,5392
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"hit","manner","pair074","The traveler hit the delay.","The idea hit the researcher.",0,87,7140
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"close","result","pair075","The lawyer closed the case.","The baker closed the oven.",0,56,7493
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"hit","manner","pair076","The solution hit the inventor.","The batter hit the ball.",1,92,7537
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"kill","result","pair077","The business killed the competition.","The criminal killed the victim.",0,63,6557
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"cover","result","pair078","The channel covered the story.","The policy covered the accident.",0,38,11103
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"bump","manner","pair079","The dean bumped the meeting.","The driver bumped the curb.",0,91,27525
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"shoot","manner","pair080","The photographer shot the wedding.","The robber shot the victim.",0,100,39843
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"kill","result","pair081","The couple killed the evening.","The cat killed the mouse.",0,100,4143
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"break","result","pair082","The journalist broke the story.","The burglar broke the window.",0,89,3883
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"pull","manner","pair083","The regulators pulled the product.","The scandal pulled the reporters.",0,81,9153
"0cfc06e4-6f5f-4fb5-9109-aa465494c136",13,"fill","result","pair084","The festival filled the weekend.","The secretary filled the schedule.",1,70,6205
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"open","result","pair016","The chairperson opened the meeting.","The farmer opened the gate.",0,100,6892
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"kill","result","pair003","The business killed the competition.","The mistake killed the proposal.",0,48,8080
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"close","result","pair013","The lawyer closed the case.","The author closed the chapter.",0,100,4714
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"cover","result","pair023","The channel covered the story.","The snow covered the footprints.",0,100,14982
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"kill","result","pair015","The couple killed the evening.","The joke killed the evening.",0,52,8575
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"break","result","pair012","The president broke the promise.","The company broke the law.",1,84,5916
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"push","manner","pair018","The politician pushed the policy.","The shopper pushed the cart.",0,100,4174
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"pull","manner","pair004","The business pulled the service.","The climber pulled the rope.",0,100,8832
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"push","manner","pair019","The pilot pushed the button.","The shopper pushed the cart.",1,100,4180
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"clear","result","pair011","The waiter cleared the table.","The worker cleared the rubble.",1,67,6900
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"clear","result","pair005","The horse cleared the jump.","The worker cleared the rubble.",0,100,6305
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"hit","manner","pair009","The traveler hit the delay.","The hurricane hit the coastline.",1,90,6332
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"fill","result","pair008","The donations filled the need.","The farmer filled the bucket.",0,100,6880
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"hit","manner","pair021","The investor hit the goal.","The batter hit the ball.",0,28,8657
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"shoot","manner","pair001","The director shot the scene.","The athlete shot the ball.",0,100,4774
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"shoot","manner","pair002","The hunter shot the deer.","The technician shot the fireworks.",0,100,11769
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"fold","result","pair017","The baker folded the flour.","The chef folded the eggs.",1,52,5122
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"bump","manner","pair007","The dean bumped the meeting.","The gardener bumped the statue.",1,100,5650
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"break","result","pair020","The doctor broke the news.","The burglar broke the window.",0,100,5225
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"hit","manner","pair010","The solution hit the inventor.","The idea hit the researcher.",1,8,9065
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"pull","manner","pair014","The advertisement pulled the customers.","The worker pulled the lever.",0,100,3989
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"fold","result","pair006","The manager folded the project.","The chef folded the eggs.",0,100,4556
"c2935e9c-1719-42ca-8bed-ec3d973bd114",5,"kill","result","pair022","The mistake killed the proposal.","The cat killed the mouse.",1,100,3505
"47578d19-c248-4491-b5c8-6156bd29f880",3,"break","result","pair069","The president broke the promise.","The journalist broke the story.",0,73,2228
"47578d19-c248-4491-b5c8-6156bd29f880",3,"bump","manner","pair079","The dean bumped the meeting.","The driver bumped the curb.",0,91,3279
"47578d19-c248-4491-b5c8-6156bd29f880",3,"smear","manner","pair068","The journalist smeared the business.","The baker smeared the frosting.",0,66,2433
"47578d19-c248-4491-b5c8-6156bd29f880",3,"break","result","pair082","The journalist broke the story.","The burglar broke the window.",0,83,2651
"47578d19-c248-4491-b5c8-6156bd29f880",3,"hit","manner","pair074","The traveler hit the delay.","The idea hit the researcher.",0,86,3769
"47578d19-c248-4491-b5c8-6156bd29f880",3,"kill","result","pair081","The couple killed the evening.","The cat killed the mouse.",0,92,2371
"47578d19-c248-4491-b5c8-6156bd29f880",3,"fill","result","pair084","The festival filled the weekend.","The secretary filled the schedule.",1,26,4165
"47578d19-c248-4491-b5c8-6156bd29f880",3,"pull","manner","pair083","The regulators pulled the product.","The scandal pulled the reporters.",0,57,3801
"47578d19-c248-4491-b5c8-6156bd29f880",3,"close","result","pair075","The lawyer closed the case.","The baker closed the oven.",0,76,3048
"47578d19-c248-4491-b5c8-6156bd29f880",3,"shoot","manner","pair080","The photographer shot the wedding.","The robber shot the victim.",0,99,2575
"47578d19-c248-4491-b5c8-6156bd29f880",3,"hit","manner","pair073","The arrow hit the target.","The solution hit the inventor.",0,21,3133
"47578d19-c248-4491-b5c8-6156bd29f880",3,"kill","result","pair077","The business killed the competition.","The criminal killed the victim.",0,74,4451
"47578d19-c248-4491-b5c8-6156bd29f880",3,"fold","result","pair072","The founder folded the company.","The child folded the paper.",0,73,4919
"47578d19-c248-4491-b5c8-6156bd29f880",3,"hit","manner","pair076","The solution hit the inventor.","The batter hit the ball.",1,67,2909
"47578d19-c248-4491-b5c8-6156bd29f880",3,"kill","result","pair071","The joke killed the evening.","The cat killed the mouse.",1,77,3080
"47578d19-c248-4491-b5c8-6156bd29f880",3,"push","manner","pair067","The company pushed the product.","The athlete pushed the limit.",0,60,2638
"47578d19-c248-4491-b5c8-6156bd29f880",3,"clear","result","pair070","The hiker cleared the obstacle.","The officer cleared the request.",0,43,2452
"47578d19-c248-4491-b5c8-6156bd29f880",3,"cover","result","pair078","The channel covered the story.","The policy covered the accident.",0,61,3560
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"clear","result","pair085","The officer cleared the request.","The waiter cleared the table.",0,84,3839
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"fill","result","pair086","The donations filled the need.","The festival filled the weekend.",0,96,6250
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"hit","manner","pair087","The hurricane hit the coastline.","The child hit the pillow.",0,74,5369
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"push","manner","pair088","The politician pushed the policy.","The athlete pushed the limit.",0,84,2297
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"shoot","manner","pair089","The director shot the scene.","The robber shot the victim.",0,100,4301
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"kill","result","pair090","The couple killed the evening.","The team killed the rivals.",0,88,7271
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"fold","result","pair091","The child folded the paper.","The baker folded the flour.",0,88,3551
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"pull","manner","pair092","The scandal pulled the reporters.","The worker pulled the lever.",0,93,4574
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"hit","manner","pair093","The investor hit the goal.","The idea hit the researcher.",0,87,4469
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"push","manner","pair094","The athlete pushed the limit.","The pilot pushed the button.",0,92,3384
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"clear","result","pair095","The horse cleared the jump.","The officer cleared the request.",0,76,4104
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"open","result","pair096","The consultant opened the discussion.","The farmer opened the gate.",0,82,3275
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"pull","manner","pair097","The business pulled the service.","The scandal pulled the reporters.",0,54,4034
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"cover","result","pair098","The writer covered the election.","The policy covered the accident.",0,89,4708
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"bump","manner","pair099","The ball bumped the couch.","The driver bumped the curb.",1,55,4708
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"break","result","pair100","The company broke the law.","The guest broke the plate.",0,70,2735
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"kill","result","pair101","The traveler killed the afternoon.","The cat killed the mouse.",0,92,2120
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"close","result","pair102","The executive closed the deal.","The baker closed the oven.",0,81,2410
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"bump","manner","pair103","The teacher bumped the deadline.","The driver bumped the curb.",0,94,5154
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"fold","result","pair104","The manager folded the project.","The child folded the paper.",0,85,2351
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"cover","result","pair105","The nurse covered the wound.","The insurance covered the damage.",0,92,2774
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"shoot","manner","pair106","The robber shot the victim.","The technician shot the fireworks.",0,52,2736
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"close","result","pair107","The presenter closed the speech.","The chauffeur closed the door.",1,91,2639
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"hit","manner","pair108","The traveler hit the delay.","The investor hit the goal.",1,97,3102
"d694b97f-a406-40fc-ac18-752c4b1ea201",17,"kill","result","pair109","The mistake killed the proposal.","The joke killed the evening.",1,49,46075
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"fold","result","pair017","The baker folded the flour.","The chef folded the eggs.",1,67,4846
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"clear","result","pair005","The horse cleared the jump.","The worker cleared the rubble.",0,97,5535
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"hit","manner","pair009","The traveler hit the delay.","The hurricane hit the coastline.",1,94,4909
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"shoot","manner","pair002","The hunter shot the deer.","The technician shot the fireworks.",0,84,147207
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"fill","result","pair008","The donations filled the need.","The farmer filled the bucket.",0,10,7297
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"cover","result","pair023","The channel covered the story.","The snow covered the footprints.",0,95,5659
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"clear","result","pair011","The waiter cleared the table.","The worker cleared the rubble.",1,63,3778
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"shoot","manner","pair001","The director shot the scene.","The athlete shot the ball.",0,89,19849
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"hit","manner","pair010","The solution hit the inventor.","The idea hit the researcher.",1,18,5330
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"kill","result","pair015","The couple killed the evening.","The joke killed the evening.",0,57,6687
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"hit","manner","pair021","The investor hit the goal.","The batter hit the ball.",0,92,5047
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"kill","result","pair022","The mistake killed the proposal.","The cat killed the mouse.",1,95,4535
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"open","result","pair016","The chairperson opened the meeting.","The farmer opened the gate.",0,84,5765
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"close","result","pair013","The lawyer closed the case.","The author closed the chapter.",0,74,5216
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"fold","result","pair006","The manager folded the project.","The chef folded the eggs.",0,87,5229
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"break","result","pair012","The president broke the promise.","The company broke the law.",1,45,4372
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"bump","manner","pair007","The dean bumped the meeting.","The gardener bumped the statue.",1,92,4669
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"break","result","pair020","The doctor broke the news.","The burglar broke the window.",0,79,5541
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"push","manner","pair019","The pilot pushed the button.","The shopper pushed the cart.",1,86,4192
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"pull","manner","pair004","The business pulled the service.","The climber pulled the rope.",0,91,5961
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"pull","manner","pair014","The advertisement pulled the customers.","The worker pulled the lever.",0,87,12180
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"push","manner","pair018","The politician pushed the policy.","The shopper pushed the cart.",0,74,4130
"153925c0-0b8f-47b0-8581-d7dbefc8cd4b",5,"kill","result","pair003","The business killed the competition.","The mistake killed the proposal.",0,69,8159
"336209fa-b21a-4021-9f46-fdd91d93093e",10,"break","result","pair110","The company broke the law.","The doctor broke the news.",0,100,6335
"336209fa-b21a-4021-9f46-fdd91d93093e",10,"fill","result","pair111","The secretary filled the schedule.","The farmer filled the bucket.",1,93,9484
"336209fa-b21a-4021-9f46-fdd91d93093e",10,"push","manner","pair112","The artwork pushed the boundaries.","The athlete pushed the limit.",1,89,7141
"336209fa-b21a-4021-9f46-fdd91d93093e",10,"fold","result","pair113","The cleaner folded the clothes.","The child folded the paper.",1,61,9830
"336209fa-b21a-4021-9f46-fdd91d93093e",10,"clear","result","pair114","The bookkeeper cleared the payment.","The officer cleared the request.",1,86,7184
