"discourse","annotator","predicate","rating","embedding","modal_type","factive","genre"
"BNC-1010","A32QJF67JMJFKX","say",2,"modal","AB","no","BNC"
"BNC-1010","A1F9KLZGHE9DTA","say",3,"modal","AB","no","BNC"
"BNC-1012","A25YG9M911WA3T","say",1,"modal","AB","no","BNC"
"BNC-1012","A36SM7QM8OK3H6","say",2,"modal","AB","no","BNC"
"BNC-1012","A1MGXQW1EEKE20","say",-3,"modal","AB","no","BNC"
"BNC-1012","A11UQWFUDNIHIL","say",-1,"modal","AB","no","BNC"
"BNC-1012","A2AJIRNA6L4IJI","say",1,"modal","AB","no","BNC"
"BNC-1012","A32QJF67JMJFKX","say",2,"modal","AB","no","BNC"
"BNC-1012","A17J1CE7N49Z9D","say",0,"modal","AB","no","BNC"
"BNC-1012","A17ELSQUMU0QT6","say",3,"modal","AB","no","BNC"
"BNC-1012","A28FMRMS9TMEOZ","say",3,"modal","AB","no","BNC"
"BNC-1014","A36SM7QM8OK3H6","say",1,"modal","EP","no","BNC"
"BNC-1014","A25YG9M911WA3T","say",0,"modal","EP","no","BNC"
"BNC-1014","ASI2B6A3Y556Z","say",0,"modal","EP","no","BNC"
"BNC-1014","AFN5VMMGYPF1I","say",3,"modal","EP","no","BNC"
"BNC-1014","A3L2UB07EZJAMD","say",0,"modal","EP","no","BNC"
"BNC-1014","A1945USNZHTROX","say",3,"modal","EP","no","BNC"
"BNC-1014","A2A0DKZ4Y9I6OV","say",1,"modal","EP","no","BNC"
"BNC-1014","A1GXFMAC759VRM","say",3,"modal","EP","no","BNC"
"BNC-1015","A2SENAPNSXG9L","say",2,"modal","CI","no","BNC"
"BNC-1015","A217W59SA6LZSR","say",1,"modal","CI","no","BNC"
"BNC-1015","A1TARNH07A75CG","say",1,"modal","CI","no","BNC"
"BNC-1015","A25YG9M911WA3T","say",2,"modal","CI","no","BNC"
"BNC-1015","A2KVYRNL2CK95F","say",2,"modal","CI","no","BNC"
"BNC-1015","AFN5VMMGYPF1I","say",2,"modal","CI","no","BNC"
"BNC-1015","A3609GDWR2JCCA","say",3,"modal","CI","no","BNC"
"BNC-1015","A36SM7QM8OK3H6","say",2,"modal","CI","no","BNC"
"BNC-1015","A1945USNZHTROX","say",3,"modal","CI","no","BNC"
"BNC-1018","A3609GDWR2JCCA","say",2,"modal","EP","no","BNC"
"BNC-1018","A36SM7QM8OK3H6","say",3,"modal","EP","no","BNC"
"BNC-1018","A25YG9M911WA3T","say",2,"modal","EP","no","BNC"
"BNC-1018","A3TY2K1HBA19PO","say",3,"modal","EP","no","BNC"
"BNC-1018","A3LJ2FHESYV9QQ","say",0,"modal","EP","no","BNC"
"BNC-1018","A35C12CR628WKD","say",2,"modal","EP","no","BNC"
"BNC-1018","A2541C8MY0BYV3","say",-1,"modal","EP","no","BNC"
"BNC-1018","A24LC97AU3QC7G","say",0,"modal","EP","no","BNC"
"BNC-1018","A1945USNZHTROX","say",3,"modal","EP","no","BNC"
"BNC-1019","A1945USNZHTROX","say",3,"modal","EP","no","BNC"
"BNC-1019","A25YG9M911WA3T","say",3,"modal","EP","no","BNC"
"BNC-1019","A36SM7QM8OK3H6","say",1,"modal","EP","no","BNC"
"BNC-1019","A2OVX9UW5WANQE","say",0,"modal","EP","no","BNC"
"BNC-1019","A1GXFMAC759VRM","say",-1,"modal","EP","no","BNC"
"BNC-1019","A34930YXVQ8SUT","say",0,"modal","EP","no","BNC"
"BNC-1019","A150GMV1YQWWB3","say",1,"modal","EP","no","BNC"
"BNC-1019","A1UWJTUVGAAF6D","say",1,"modal","EP","no","BNC"
"BNC-1020","A1GXFMAC759VRM","say",3,"modal","CI","no","BNC"
"BNC-1020","A25YG9M911WA3T","say",2,"modal","CI","no","BNC"
"BNC-1020","A150GMV1YQWWB3","say",2,"modal","CI","no","BNC"
"BNC-1020","A2NA2OJT15COZY","say",3,"modal","CI","no","BNC"
"BNC-1020","AFN5VMMGYPF1I","say",3,"modal","CI","no","BNC"
"BNC-1020","A2541C8MY0BYV3","say",-1,"modal","CI","no","BNC"
"BNC-1020","A1945USNZHTROX","say",3,"modal","CI","no","BNC"
"BNC-1020","A36SM7QM8OK3H6","say",3,"modal","CI","no","BNC"
"BNC-1024","A1IXH2QLUU5BKZ","say",2,"modal","CI","no","BNC"
"BNC-1024","A36SM7QM8OK3H6","say",3,"modal","CI","no","BNC"
"BNC-1024","A1GXFMAC759VRM","say",3,"modal","CI","no","BNC"
"BNC-1024","AC5UD8N187QD6","say",3,"modal","CI","no","BNC"
"BNC-1024","A32TGAK321JDFF","say",3,"modal","CI","no","BNC"
"BNC-1024","A2CJYS92WX7HN6","say",3,"modal","CI","no","BNC"
"BNC-1024","A1MJVTR0PCKBWW","say",3,"modal","CI","no","BNC"
"BNC-1024","A3DFJV1RD653DQ","say",1,"modal","CI","no","BNC"
"BNC-1024","A28AX4H70DPKKK","say",3,"modal","CI","no","BNC"
"BNC-1031","A25YG9M911WA3T","say",2,"modal","AB","no","BNC"
"BNC-1031","A1F3P6N7BO9HBN","say",2,"modal","AB","no","BNC"
"BNC-1031","A36SM7QM8OK3H6","say",3,"modal","AB","no","BNC"
"BNC-1031","A2W8ZV9DQWVHJK","say",3,"modal","AB","no","BNC"
"BNC-1031","A150GMV1YQWWB3","say",-1,"modal","AB","no","BNC"
"BNC-1031","AFN5VMMGYPF1I","say",3,"modal","AB","no","BNC"
"BNC-1031","A3LJ2FHESYV9QQ","say",3,"modal","AB","no","BNC"
"BNC-1031","A1945USNZHTROX","say",3,"modal","AB","no","BNC"
"BNC-1031","A2BA9Y6VGW6WS1","say",-2,"modal","AB","no","BNC"
"BNC-1032","A1945USNZHTROX","say",-3,"modal","AB","no","BNC"
"BNC-1032","AFN5VMMGYPF1I","say",-3,"modal","AB","no","BNC"
"BNC-1032","AJRY9ALX8069Y","say",0,"modal","AB","no","BNC"
"BNC-1032","A2BA9Y6VGW6WS1","say",-2,"modal","AB","no","BNC"
"BNC-1032","A150GMV1YQWWB3","say",-3,"modal","AB","no","BNC"
"BNC-1032","A1GXFMAC759VRM","say",-3,"modal","AB","no","BNC"
"BNC-1032","A36SM7QM8OK3H6","say",-3,"modal","AB","no","BNC"
"BNC-1032","A25YG9M911WA3T","say",-1,"modal","AB","no","BNC"
"BNC-1032","A3609GDWR2JCCA","say",0,"modal","AB","no","BNC"
"BNC-1035","A5EU1AQJNC7F2","say",2,"modal","AB","no","BNC"
"BNC-1035","A1945USNZHTROX","say",3,"modal","AB","no","BNC"
"BNC-1035","A1MJVTR0PCKBWW","say",3,"modal","AB","no","BNC"
"BNC-1035","A12R2U6TBB3OOG","say",1,"modal","AB","no","BNC"
"BNC-1035","A36SM7QM8OK3H6","say",3,"modal","AB","no","BNC"
"BNC-1035","A2541C8MY0BYV3","say",2,"modal","AB","no","BNC"
"BNC-1035","A25YG9M911WA3T","say",-2,"modal","AB","no","BNC"
"BNC-1035","A150GMV1YQWWB3","say",-1,"modal","AB","no","BNC"
"BNC-1046","A3TCFIPOBRZZB3","say",2,"modal","CI","no","BNC"
"BNC-1046","A1GXFMAC759VRM","say",1,"modal","CI","no","BNC"
"BNC-1046","A3DFJV1RD653DQ","say",-1,"modal","CI","no","BNC"
"BNC-1046","A1BWS5AD2T4NIR","say",3,"modal","CI","no","BNC"
"BNC-1046","AC5UD8N187QD6","say",1,"modal","CI","no","BNC"
"BNC-1046","A16G6PPH1INQL8","say",2,"modal","CI","no","BNC"
"BNC-1046","A2NA2OJT15COZY","say",1,"modal","CI","no","BNC"
"BNC-1046","A36SM7QM8OK3H6","say",2,"modal","CI","no","BNC"
"BNC-1047","A3RVYJNYREMTAH","say",1,"modal","CI","no","BNC"
"BNC-1047","AFN5VMMGYPF1I","say",2,"modal","CI","no","BNC"
"BNC-1047","A36SM7QM8OK3H6","say",1,"modal","CI","no","BNC"
"BNC-1047","A1945USNZHTROX","say",3,"modal","CI","no","BNC"
"BNC-1047","A1GXFMAC759VRM","say",2,"modal","CI","no","BNC"
"BNC-1047","A25YG9M911WA3T","say",2,"modal","CI","no","BNC"
"BNC-1047","ANQ0RLFEZ17W0","say",3,"modal","CI","no","BNC"
"BNC-1047","A150GMV1YQWWB3","say",1,"modal","CI","no","BNC"
"BNC-1048","AFN5VMMGYPF1I","say",3,"modal","CI","no","BNC"
"BNC-1048","A36SM7QM8OK3H6","say",2,"modal","CI","no","BNC"
"BNC-1048","A3LJ2FHESYV9QQ","say",1,"modal","CI","no","BNC"
"BNC-1048","A150GMV1YQWWB3","say",1,"modal","CI","no","BNC"
"BNC-1048","A1GXFMAC759VRM","say",-2,"modal","CI","no","BNC"
"BNC-1048","AFWKRID53R1XA","say",1,"modal","CI","no","BNC"
"BNC-1048","A25YG9M911WA3T","say",-2,"modal","CI","no","BNC"
"BNC-1048","A1945USNZHTROX","say",3,"modal","CI","no","BNC"
"BNC-1049","A3LJ2FHESYV9QQ","say",2,"modal","CI","no","BNC"
"BNC-1049","AFN5VMMGYPF1I","say",2,"modal","CI","no","BNC"
"BNC-1049","A36SM7QM8OK3H6","say",2,"modal","CI","no","BNC"
"BNC-1049","A150GMV1YQWWB3","say",2,"modal","CI","no","BNC"
"BNC-1049","A25YG9M911WA3T","say",1,"modal","CI","no","BNC"
"BNC-1049","A1GXFMAC759VRM","say",3,"modal","CI","no","BNC"
"BNC-1049","A2BA9Y6VGW6WS1","say",1,"modal","CI","no","BNC"
"BNC-1049","A1945USNZHTROX","say",3,"modal","CI","no","BNC"
"BNC-1055","A36SM7QM8OK3H6","say",2,"modal","CI","no","BNC"
"BNC-1055","A1945USNZHTROX","say",3,"modal","CI","no","BNC"
"BNC-1055","A150GMV1YQWWB3","say",2,"modal","CI","no","BNC"
"BNC-1055","A1GXFMAC759VRM","say",2,"modal","CI","no","BNC"
"BNC-1055","A3LJ2FHESYV9QQ","say",3,"modal","CI","no","BNC"
"BNC-1055","A3609GDWR2JCCA","say",3,"modal","CI","no","BNC"
"BNC-1055","A10BH9PYCYUKDJ","say",3,"modal","CI","no","BNC"
"BNC-1055","A2BA9Y6VGW6WS1","say",2,"modal","CI","no","BNC"
"BNC-1055","A25YG9M911WA3T","say",3,"modal","CI","no","BNC"
"BNC-106","A1GXFMAC759VRM","hear",2,"conditional","EP","no","BNC"
"BNC-106","A2RBF3IIJP15IH","hear",0,"conditional","EP","no","BNC"
"BNC-106","A36SM7QM8OK3H6","hear",1,"conditional","EP","no","BNC"
"BNC-106","A1HWTTN3JEUNZY","hear",0,"conditional","EP","no","BNC"
"BNC-106","A5EU1AQJNC7F2","hear",0,"conditional","EP","no","BNC"
"BNC-106","A1MJVTR0PCKBWW","hear",1,"conditional","EP","no","BNC"
"BNC-106","A2AMQX0BQZXG9N","hear",2,"conditional","EP","no","BNC"
"BNC-106","A18T67NDI2JK5Y","hear",-2,"conditional","EP","no","BNC"
"BNC-106","A1DIGREVLNOXT3","hear",3,"conditional","EP","no","BNC"
"BNC-1063","A1945USNZHTROX","say",3,"modal","CI","no","BNC"
"BNC-1063","A1GXFMAC759VRM","say",3,"modal","CI","no","BNC"
"BNC-1063","AFN5VMMGYPF1I","say",3,"modal","CI","no","BNC"
"BNC-1063","A36SM7QM8OK3H6","say",2,"modal","CI","no","BNC"
"BNC-1063","A1MJVTR0PCKBWW","say",2,"modal","CI","no","BNC"
"BNC-1063","A150GMV1YQWWB3","say",3,"modal","CI","no","BNC"
"BNC-1063","A3VBAQB2WO36Q1","say",2,"modal","CI","no","BNC"
"BNC-1063","A12R2U6TBB3OOG","say",3,"modal","CI","no","BNC"
"BNC-1066","AFN5VMMGYPF1I","say",3,"modal","CI","no","BNC"
"BNC-1066","A1MJVTR0PCKBWW","say",3,"modal","CI","no","BNC"
"BNC-1066","A150GMV1YQWWB3","say",1,"modal","CI","no","BNC"
"BNC-1066","A1GXFMAC759VRM","say",3,"modal","CI","no","BNC"
"BNC-1066","AV22FQTJNBUZT","say",3,"modal","CI","no","BNC"
"BNC-1066","A25YG9M911WA3T","say",2,"modal","CI","no","BNC"
"BNC-1066","A36SM7QM8OK3H6","say",2,"modal","CI","no","BNC"
"BNC-1066","A2NA2OJT15COZY","say",3,"modal","CI","no","BNC"
"BNC-1066","A4J4GGMKJ68L0","say",1,"modal","CI","no","BNC"
"BNC-1068","A3FPXLLF0B8CIC","see",2,"modal","AB","yes","BNC"
"BNC-1068","AC5UD8N187QD6","see",2,"modal","AB","yes","BNC"
"BNC-1068","A36SM7QM8OK3H6","see",3,"modal","AB","yes","BNC"
"BNC-1068","AFN5VMMGYPF1I","see",3,"modal","AB","yes","BNC"
"BNC-1068","A3GPTSDDHJ2DBV","see",3,"modal","AB","yes","BNC"
"BNC-1068","A110KENBXU7SUJ","see",-2,"modal","AB","yes","BNC"
"BNC-1068","A1GXFMAC759VRM","see",2,"modal","AB","yes","BNC"
"BNC-1068","A2541C8MY0BYV3","see",2,"modal","AB","yes","BNC"
"BNC-1069","A36SM7QM8OK3H6","see",3,"modal","AB","yes","BNC"
"BNC-1069","A1945USNZHTROX","see",3,"modal","AB","yes","BNC"
"BNC-1069","A16SAB417Y96G4","see",1,"modal","AB","yes","BNC"
"BNC-1069","A1GXFMAC759VRM","see",3,"modal","AB","yes","BNC"
"BNC-1069","A25YG9M911WA3T","see",3,"modal","AB","yes","BNC"
"BNC-1069","A3W6T1WDYXMR3","see",2,"modal","AB","yes","BNC"
"BNC-1069","A2OVX9UW5WANQE","see",2,"modal","AB","yes","BNC"
"BNC-1069","AFN5VMMGYPF1I","see",3,"modal","AB","yes","BNC"
"BNC-107","A1GXFMAC759VRM","hear",2,"conditional","none","no","BNC"
"BNC-107","A1MJVTR0PCKBWW","hear",1,"conditional","none","no","BNC"
"BNC-107","A24LC97AU3QC7G","hear",2,"conditional","none","no","BNC"
"BNC-107","A1SWTHM03SN731","hear",-1,"conditional","none","no","BNC"
"BNC-107","A2RBF3IIJP15IH","hear",0,"conditional","none","no","BNC"
"BNC-107","A5EU1AQJNC7F2","hear",3,"conditional","none","no","BNC"
"BNC-107","A1F9KLZGHE9DTA","hear",3,"conditional","none","no","BNC"
"BNC-107","A36SM7QM8OK3H6","hear",2,"conditional","none","no","BNC"
"BNC-1070","A1945USNZHTROX","see",3,"modal","AB","yes","BNC"
"BNC-1070","ATGUAXNWCW8NI","see",1,"modal","AB","yes","BNC"
"BNC-1070","A1GXFMAC759VRM","see",3,"modal","AB","yes","BNC"
"BNC-1070","A25YG9M911WA3T","see",2,"modal","AB","yes","BNC"
"BNC-1070","A36SM7QM8OK3H6","see",3,"modal","AB","yes","BNC"
"BNC-1070","A3PIAHR6PGXZNT","see",3,"modal","AB","yes","BNC"
"BNC-1070","A125KW9P18V5Z1","see",2,"modal","AB","yes","BNC"
"BNC-1070","A1NM7ZPZ3NH412","see",3,"modal","AB","yes","BNC"
"BNC-1071","A1MJHGH55K3O0","see",3,"modal","AB","yes","BNC"
"BNC-1071","A25YG9M911WA3T","see",2,"modal","AB","yes","BNC"
"BNC-1071","A1945USNZHTROX","see",3,"modal","AB","yes","BNC"
"BNC-1071","A1NM7ZPZ3NH412","see",3,"modal","AB","yes","BNC"
"BNC-1071","A1GXFMAC759VRM","see",3,"modal","AB","yes","BNC"
"BNC-1071","A150GMV1YQWWB3","see",3,"modal","AB","yes","BNC"
"BNC-1071","A2IGPW784OFV3D","see",3,"modal","AB","yes","BNC"
"BNC-1071","A36SM7QM8OK3H6","see",3,"modal","AB","yes","BNC"
"BNC-1074","A27XYQJLE8D39R","see",3,"modal","EP","yes","BNC"
"BNC-1074","A2JOHICL072IY3","see",3,"modal","EP","yes","BNC"
"BNC-1074","A19IWME4DCIU1H","see",3,"modal","EP","yes","BNC"
"BNC-1074","A3POD149IG0DIW","see",2,"modal","EP","yes","BNC"
"BNC-1074","A240OTT1T85UGT","see",1,"modal","EP","yes","BNC"
"BNC-1074","A125KW9P18V5Z1","see",0,"modal","EP","yes","BNC"
"BNC-1074","ARJJKTGF3RDCO","see",1,"modal","EP","yes","BNC"
"BNC-1074","A1NM7ZPZ3NH412","see",3,"modal","EP","yes","BNC"
"BNC-1074","A3UEJQ4EJB9DBD","see",2,"modal","EP","yes","BNC"
"BNC-1075","A1NM7ZPZ3NH412","see",3,"modal","AB","yes","BNC"
"BNC-1075","A36SM7QM8OK3H6","see",3,"modal","AB","yes","BNC"
"BNC-1075","A150GMV1YQWWB3","see",3,"modal","AB","yes","BNC"
"BNC-1075","A1R4KVYEV07CAJ","see",2,"modal","AB","yes","BNC"
"BNC-1075","A1GXFMAC759VRM","see",3,"modal","AB","yes","BNC"
"BNC-1075","A1945USNZHTROX","see",3,"modal","AB","yes","BNC"
"BNC-1075","A3JP7DIFRS0ZBY","see",2,"modal","AB","yes","BNC"
"BNC-1075","A1HKCTDOTL6C9I","see",3,"modal","AB","yes","BNC"
"BNC-1077","A1GXFMAC759VRM","see",3,"modal","AB","yes","BNC"
"BNC-1077","A36SM7QM8OK3H6","see",3,"modal","AB","yes","BNC"
"BNC-1077","A1MJHGH55K3O0","see",3,"modal","AB","yes","BNC"
"BNC-1077","A150GMV1YQWWB3","see",2,"modal","AB","yes","BNC"
"BNC-1077","A3M26P1CBNLA4U","see",2,"modal","AB","yes","BNC"
"BNC-1077","AD8JNBDMO3NED","see",1,"modal","AB","yes","BNC"
"BNC-1077","A1945USNZHTROX","see",3,"modal","AB","yes","BNC"
"BNC-1077","ASI2B6A3Y556Z","see",3,"modal","AB","yes","BNC"
"BNC-1077","A25YG9M911WA3T","see",3,"modal","AB","yes","BNC"
"BNC-1080","A25YG9M911WA3T","see",2,"modal","AB","yes","BNC"
"BNC-1080","A1945USNZHTROX","see",3,"modal","AB","yes","BNC"
"BNC-1080","AFN5VMMGYPF1I","see",3,"modal","AB","yes","BNC"
"BNC-1080","A1NM7ZPZ3NH412","see",3,"modal","AB","yes","BNC"
"BNC-1080","A3PIAHR6PGXZNT","see",3,"modal","AB","yes","BNC"
"BNC-1080","A2SENAPNSXG9L","see",3,"modal","AB","yes","BNC"
"BNC-1080","A1GXFMAC759VRM","see",3,"modal","AB","yes","BNC"
"BNC-1080","A36SM7QM8OK3H6","see",3,"modal","AB","yes","BNC"
"BNC-1082","A1NM7ZPZ3NH412","see",3,"modal","AB","yes","BNC"
"BNC-1082","A2OVX9UW5WANQE","see",0,"modal","AB","yes","BNC"
"BNC-1082","A16SAB417Y96G4","see",2,"modal","AB","yes","BNC"
"BNC-1082","A36SM7QM8OK3H6","see",3,"modal","AB","yes","BNC"
"BNC-1082","A18LPAFMK1B06K","see",2,"modal","AB","yes","BNC"
"BNC-1082","A39Q4SNT7SRK94","see",-1,"modal","AB","yes","BNC"
"BNC-1082","A5EU1AQJNC7F2","see",3,"modal","AB","yes","BNC"
"BNC-1082","A5TI9UQEPLNWI","see",1,"modal","AB","yes","BNC"
"BNC-1083","AR1IWBDA7MC86","see",0,"modal","AB","yes","BNC"
"BNC-1083","A125KW9P18V5Z1","see",1,"modal","AB","yes","BNC"
"BNC-1083","A36SM7QM8OK3H6","see",3,"modal","AB","yes","BNC"
"BNC-1083","A5EU1AQJNC7F2","see",3,"modal","AB","yes","BNC"
"BNC-1083","A1F9KLZGHE9DTA","see",3,"modal","AB","yes","BNC"
"BNC-1083","A1A1A9UHNQCI9Y","see",1,"modal","AB","yes","BNC"
"BNC-1083","A1NM7ZPZ3NH412","see",3,"modal","AB","yes","BNC"
"BNC-1083","A1GXFMAC759VRM","see",3,"modal","AB","yes","BNC"
"BNC-1086","A4J4GGMKJ68L0","see",3,"modal","AB","yes","BNC"
"BNC-1086","A1945USNZHTROX","see",3,"modal","AB","yes","BNC"
"BNC-1086","A3GPTSDDHJ2DBV","see",1,"modal","AB","yes","BNC"
"BNC-1086","A1GXFMAC759VRM","see",3,"modal","AB","yes","BNC"
"BNC-1086","A55CXM7QR7R0N","see",0,"modal","AB","yes","BNC"
"BNC-1086","A36SM7QM8OK3H6","see",2,"modal","AB","yes","BNC"
"BNC-1086","A2541C8MY0BYV3","see",3,"modal","AB","yes","BNC"
"BNC-1086","A25YG9M911WA3T","see",2,"modal","AB","yes","BNC"
"BNC-1086","AFN5VMMGYPF1I","see",3,"modal","AB","yes","BNC"
"BNC-1087","A26M997VYVK0E6","see",3,"modal","AB","yes","BNC"
"BNC-1087","A1945USNZHTROX","see",3,"modal","AB","yes","BNC"
"BNC-1087","A1GXFMAC759VRM","see",3,"modal","AB","yes","BNC"
"BNC-1087","A1NM7ZPZ3NH412","see",3,"modal","AB","yes","BNC"
"BNC-1087","A150GMV1YQWWB3","see",3,"modal","AB","yes","BNC"
"BNC-1087","A2WCXJZEXXR60A","see",3,"modal","AB","yes","BNC"
"BNC-1087","A2RBF3IIJP15IH","see",2,"modal","AB","yes","BNC"
"BNC-1087","A36SM7QM8OK3H6","see",3,"modal","AB","yes","BNC"
"BNC-1089","A150GMV1YQWWB3","see",3,"modal","AB","yes","BNC"
"BNC-1089","A4J4GGMKJ68L0","see",0,"modal","AB","yes","BNC"
"BNC-1089","A1GXFMAC759VRM","see",3,"modal","AB","yes","BNC"
"BNC-1089","A36SM7QM8OK3H6","see",3,"modal","AB","yes","BNC"
"BNC-1089","A1NM7ZPZ3NH412","see",3,"modal","AB","yes","BNC"
"BNC-1089","A25YG9M911WA3T","see",2,"modal","AB","yes","BNC"
"BNC-1089","A2WCXJZEXXR60A","see",2,"modal","AB","yes","BNC"
"BNC-1089","A1945USNZHTROX","see",3,"modal","AB","yes","BNC"
"BNC-1091","A1GXFMAC759VRM","see",3,"modal","AB","yes","BNC"
"BNC-1091","A3U761PEG7MFKT","see",2,"modal","AB","yes","BNC"
"BNC-1091","A2541C8MY0BYV3","see",2,"modal","AB","yes","BNC"
"BNC-1091","A150GMV1YQWWB3","see",2,"modal","AB","yes","BNC"
"BNC-1091","A1945USNZHTROX","see",3,"modal","AB","yes","BNC"
"BNC-1091","A36SM7QM8OK3H6","see",3,"modal","AB","yes","BNC"
"BNC-1091","A25YG9M911WA3T","see",2,"modal","AB","yes","BNC"
"BNC-1091","A3GPTSDDHJ2DBV","see",1,"modal","AB","yes","BNC"
"BNC-1092","AFN5VMMGYPF1I","see",3,"modal","AB","yes","BNC"
"BNC-1092","A3VVR8NR3ED04C","see",2,"modal","AB","yes","BNC"
"BNC-1092","AKLV0WIZZ356X","see",2,"modal","AB","yes","BNC"
"BNC-1092","A1DIGREVLNOXT3","see",2,"modal","AB","yes","BNC"
"BNC-1092","A2M45YGLOWMO4N","see",1,"modal","AB","yes","BNC"
"BNC-1092","A36SM7QM8OK3H6","see",3,"modal","AB","yes","BNC"
"BNC-1092","A16SAB417Y96G4","see",0,"modal","AB","yes","BNC"
"BNC-1092","A2BA9Y6VGW6WS1","see",2,"modal","AB","yes","BNC"
"BNC-1092","A2NA2OJT15COZY","see",1,"modal","AB","yes","BNC"
"BNC-1093","A25YG9M911WA3T","see",3,"modal","AB","yes","BNC"
"BNC-1093","A2W3I2GBGDB637","see",0,"modal","AB","yes","BNC"
"BNC-1093","A1945USNZHTROX","see",3,"modal","AB","yes","BNC"
"BNC-1093","A1GXFMAC759VRM","see",2,"modal","AB","yes","BNC"
"BNC-1093","A1MJVTR0PCKBWW","see",2,"modal","AB","yes","BNC"
"BNC-1093","A2541C8MY0BYV3","see",3,"modal","AB","yes","BNC"
"BNC-1093","A36SM7QM8OK3H6","see",2,"modal","AB","yes","BNC"
"BNC-1093","A3VVR8NR3ED04C","see",2,"modal","AB","yes","BNC"
