"case","fold","factive","embedding","n_ratings","lpd_factivity","lpd_environment","elpd_difference"
494,1,"yes","negation",8,-11.3308679225499,-10.9886885072244,0.342179415325431
496,1,"no","conditional",8,-10.9425957203964,-10.8499638302023,0.092631890194145
498,1,"no","negation",10,-13.6069225435866,-13.3868987117144,0.220023831872171
501,1,"no","negation",8,-11.1335302516539,-10.9122255603971,0.221304691256748
503,1,"yes","negation",8,-16.3734998578551,-16.2049662230133,0.168533634841722
504,1,"yes","negation",9,-15.5931201868288,-15.3160693502783,0.277050836550513
507,1,"yes","conditional",12,-19.7496650262969,-19.9176325261423,-0.167967499845407
508,1,"no","negation",12,-16.6245209561927,-16.4457150742571,0.178805881935563
509,1,"yes","negation",9,-16.1628281119983,-15.9638252980586,0.199002813939712
510,1,"no","negation",9,-13.3233117234283,-13.0761066758253,0.24720504760303
521,1,"no","negation",11,-11.9222281677174,-11.6440381065945,0.27819006112291
522,1,"no","negation",8,-11.2633461909063,-10.9774843699885,0.285861820917871
527,1,"no","negation",12,-19.8875008612957,-19.6679231457975,0.219577715498151
531,1,"no","negation",9,-12.3859464780382,-12.1326322925993,0.253314185438898
534,1,"no","negation",8,-18.4079613925568,-19.2886774565687,-0.880716064011871
553,1,"no","negation",8,-15.0625264180704,-14.8740355348814,0.18849088318896
554,1,"no","negation",8,-12.5723249966105,-12.4006927609729,0.171632235637603
560,1,"no","negation",9,-11.9427949519797,-11.7410560720554,0.201738879924266
564,1,"no","negation",10,-15.3890716269111,-15.1593470496445,0.229724577266598
569,1,"no","negation",10,-11.3021708794296,-11.0526421031,0.249528776329635
574,1,"no","negation",10,-17.7777003690041,-17.6104904939332,0.167209875070849
592,1,"no","negation",8,-9.20972718407374,-8.70921241600478,0.500514768068959
597,1,"no","negation",10,-21.0739689185245,-21.0813243342963,-0.00735541577181564
599,1,"no","negation",8,-10.3179094232431,-10.059484168535,0.258425254708072
607,1,"no","negation",8,-13.2546295913582,-13.0571055598781,0.197524031480091
609,1,"no","negation",10,-14.5950727291457,-14.3346509588197,0.260421770325962
613,1,"yes","negation",10,-21.108451463248,-20.8808959173142,0.227555545933793
616,1,"no","negation",8,-12.6505254685286,-12.4266303123273,0.223895156201284
619,1,"yes","negation",10,-17.3763086116299,-17.2423201745025,0.133988437127346
623,1,"yes","negation",12,-22.3015487951971,-22.087002007146,0.214546788051102
646,1,"yes","negation",10,-18.6247173432512,-18.4349129629548,0.189804380296415
647,1,"no","negation",8,-12.3712905675921,-12.1662610194722,0.205029548119875
650,1,"no","negation",8,-13.7848564684674,-13.2799789397806,0.504877528686793
659,1,"yes","negation",12,-19.91929917319,-20.3717776898427,-0.452478516652636
661,1,"no","negation",10,-19.6638337061598,-19.7706840138592,-0.106850307699329
667,1,"no","negation",11,-19.8070576678817,-19.7116191347877,0.0954385330939793
676,1,"no","conditional",8,-19.0666667894115,-18.7204539634643,0.346212825947241
677,1,"no","modal",8,-12.1033427416032,-10.82067162935,1.28267111225313
680,1,"yes","negation",8,-14.1905353486336,-13.8165786683813,0.373956680252363
681,1,"yes","negation",10,-20.7124248493969,-20.6456663151642,0.0667585342327506
682,1,"yes","negation",11,-16.7392496126871,-16.3606357997269,0.378613812960289
686,1,"yes","negation",8,-14.3252806830145,-14.4179331763674,-0.0926524933529791
694,1,"yes","negation",10,-15.2895509122835,-15.8026619954383,-0.513111083154749
700,1,"yes","negation",10,-20.5585494907762,-20.2355732134763,0.322976277299915
711,1,"no","negation",8,-13.2128661515719,-13.0009996507526,0.211866500819239
718,1,"no","negation",8,-10.0262629763342,-9.72704841898851,0.299214557345682
722,1,"no","negation",10,-12.5404848466676,-12.3127965860597,0.22768826060795
724,1,"no","negation",11,-15.7885385182356,-15.5235854338229,0.26495308441266
725,1,"no","negation",8,-10.0983965836314,-9.85654532522583,0.241851258405609
726,1,"no","negation",8,-12.3313641142335,-12.1609435952082,0.170420519025319
732,1,"no","negation",10,-14.6985252670618,-14.4162629573024,0.282262309759446
738,1,"yes","negation",10,-21.8832745816057,-21.6105912225949,0.272683359010795
740,1,"no","modal",8,-13.1928170007115,-12.872611759694,0.32020524101749
742,1,"no","negation",9,-10.0273735057087,-9.75640557975279,0.270967925955903
759,1,"no","negation",8,-14.1010456875858,-13.9192134739648,0.181832213621032
760,1,"no","modal",11,-20.4796587369963,-19.5277552407171,0.951903496279193
762,1,"no","negation",11,-11.8998786839539,-11.6023540866787,0.297524597275235
766,1,"no","negation",12,-23.5252501494959,-23.382604971223,0.142645178272904
768,1,"yes","negation",12,-23.0653564866801,-22.8229164582764,0.242440028403728
770,1,"no","negation",10,-17.6147463603786,-17.393366372131,0.221379988247591
774,1,"no","question",8,-17.0018791510984,-16.4049381582941,0.59694099280432
783,1,"yes","question",10,-4.41223026838192,-3.55724622422811,0.854984044153808
786,1,"no","question",9,-12.7917965315185,-12.4670952145143,0.324701317004227
788,1,"yes","question",9,-14.0207954622974,-13.8139821559828,0.206813306314579
789,1,"no","question",10,-12.3434316878471,-12.1811385720437,0.162293115803372
792,1,"no","question",9,-17.3973439961922,-16.8430092711178,0.554334725074405
800,1,"no","question",8,-12.7464271694632,-12.598186594854,0.148240574609208
801,1,"yes","question",10,-17.943022031908,-17.9850464729357,-0.0420244410276993
803,1,"no","question",12,-17.0277661616306,-16.4941571777749,0.533608983855718
808,1,"no","question",8,-12.5995884522146,-12.0322941953509,0.567294256863748
811,1,"no","question",8,-11.7979597485891,-11.3910059479523,0.40695380063679
813,1,"no","question",8,-11.995591756629,-11.432308158204,0.563283598425022
816,1,"no","question",10,-15.8751566126608,-15.5165587877899,0.358597824870895
829,1,"no","question",10,-16.9048930631177,-16.6217416584817,0.283151404636037
832,1,"no","question",10,-14.1186489736355,-13.6742602770028,0.444388696632615
833,1,"no","question",10,-18.0731078753769,-17.0516706404645,1.02143723491239
834,1,"no","question",8,-10.1912127892826,-9.72271710299585,0.46849568628676
843,1,"no","question",8,-14.4644334611475,-14.3187694483553,0.14566401279215
851,1,"yes","question",9,-10.167796317144,-9.31866182742156,0.849134489722406
853,1,"no","conditional",9,-14.6233762321391,-14.4513415952894,0.172034636849705
854,1,"no","conditional",10,-16.0196365405375,-15.547957178808,0.471679361729501
855,1,"yes","negation",11,-24.9158381842266,-24.552944361177,0.362893823049621
856,1,"no","negation",8,-10.0742142543212,-9.84607876839351,0.228135485927714
865,1,"no","negation",10,-16.6946299003072,-16.4768738788492,0.217756021457991
873,1,"no","negation",8,-10.845262858012,-10.6345663037136,0.21069655429843
876,1,"yes","negation",8,-11.883928979634,-11.5463353193101,0.337593660323918
877,1,"yes","negation",11,-17.1793201903587,-17.2684763112884,-0.0891561209297436
879,1,"no","negation",11,-18.8524959986081,-18.4065359762522,0.445960022355926
885,1,"no","modal",15,-26.3147609599241,-26.3122457927157,0.00251516720846112
887,1,"no","negation",17,-27.4556902667357,-27.2552338285281,0.200456438207592
897,1,"no","negation",15,-26.347762745919,-26.3714998202467,-0.0237370743277161
898,1,"no","question",18,-34.5330120246547,-34.4402217380222,0.092790286632443
906,1,"no","modal",15,-32.5228210638307,-32.0460025976477,0.476818466182912
907,1,"no","negation",15,-26.3171251298919,-26.3078868067291,0.00923832316286877
908,1,"no","negation",15,-22.5196302557268,-22.6327577509116,-0.113127495184731
914,1,"no","modal",18,-30.1595823583183,-29.9859121720842,0.173670186234165
919,1,"no","negation",18,-25.3249460378473,-24.9469832474095,0.377962790437834
938,1,"no","modal",15,-24.1227241350383,-23.6181663619489,0.504557773089342
940,1,"no","negation",18,-31.1031484467291,-30.8721618820326,0.230986564696526
956,1,"no","negation",15,-25.6063040819187,-25.4749421926902,0.131361889228486
968,1,"no","negation",17,-33.4834836898449,-33.4839274696771,-0.000443779832210112
8,2,"no","modal",8,-14.0935751836708,-13.3821531901347,0.711421993536112
13,2,"no","modal",9,-18.6197009349731,-18.4628259603578,0.156874974615278
16,2,"no","modal",8,-12.8907363516996,-12.6912976766993,0.199438675000247
17,2,"no","modal",9,-14.7036155497989,-14.6693986897772,0.0342168600216031
23,2,"no","modal",8,-19.4560183479522,-19.3583128280012,0.0977055199510453
25,2,"no","modal",9,-16.162355186307,-15.3777339002709,0.784621286036144
30,2,"no","modal",8,-15.3493537089496,-14.7543088223584,0.595044886591168
36,2,"no","modal",9,-21.3062383282719,-21.0213003044673,0.284938023804632
37,2,"no","modal",8,-14.6595541936188,-15.7323156131886,-1.07276141956974
45,2,"no","modal",9,-21.4186316899315,-21.5293631034248,-0.110731413493298
66,2,"yes","negation",9,-6.68043697681999,-7.08524084611393,-0.404803869293938
72,2,"yes","negation",8,-1.84523958026984,-2.84979384048017,-1.00455426021033
73,2,"yes","negation",8,-1.84172360989789,-2.83425649166671,-0.992532881768816
74,2,"no","negation",8,-16.6877791480393,-16.1816491634277,0.506129984611636
82,2,"no","negation",9,-12.9775956737596,-13.3393866187064,-0.361790944946817
86,2,"no","negation",9,-18.8389244786046,-19.6197808136191,-0.780856335014512
93,2,"yes","negation",8,-11.5216087975532,-11.9749667350754,-0.453357937522272
98,2,"yes","negation",9,-11.2622265614526,-11.9644112814535,-0.702184720000973
101,2,"yes","negation",13,-22.6750766063703,-22.9235070917758,-0.248430485405478
105,2,"yes","negation",9,-21.5041807288456,-21.6472170402714,-0.143036311425814
116,2,"yes","negation",10,-22.944587580565,-23.2197001037641,-0.275112523199152
131,2,"no","negation",9,-14.2042550328273,-13.8369326807074,0.367322352119906
140,2,"yes","negation",9,-12.1570345571509,-12.1517445673914,0.00528998975952177
143,2,"yes","negation",8,-13.621745284001,-13.5546470874901,0.0670981965108215
145,2,"yes","negation",9,-8.19895739603625,-8.31367822184736,-0.114720825811112
149,2,"yes","negation",8,-11.4353153453057,-11.5955770177178,-0.160261672412117
151,2,"yes","negation",9,-15.7948617579479,-15.5283011867058,0.266560571242037
152,2,"yes","negation",8,-15.6882411918042,-15.4404269231405,0.247814268663703
156,2,"yes","negation",8,-16.9690184815165,-16.7109922880363,0.258026193480195
159,2,"yes","negation",8,-12.4676101222892,-12.3280835393341,0.139526582955099
161,2,"no","negation",9,-17.1318836173633,-17.4768338811359,-0.344950263772624
163,2,"no","negation",9,-16.5703046220003,-16.643891084467,-0.0735864624667322
167,2,"yes","negation",9,-15.7860045840573,-15.5078311885287,0.278173395528608
168,2,"yes","negation",8,-18.6218866916888,-18.378259000515,0.24362769117371
176,2,"no","negation",8,-16.4469246608406,-16.4954870959297,-0.0485624350891669
187,2,"yes","negation",9,-16.3170377330808,-17.2850732042864,-0.968035471205553
188,2,"no","negation",9,-19.2919177244783,-19.2024466355562,0.0894710889220676
189,2,"no","negation",9,-18.0538627042489,-17.9919719904506,0.0618907137983342
190,2,"no","negation",8,-11.9659025627641,-12.0364450278575,-0.070542465093471
194,2,"no","negation",8,-13.7264424786094,-13.3824727875225,0.343969691086857
200,2,"no","negation",8,-14.8149633233341,-15.4849796586588,-0.670016335324652
208,2,"no","negation",9,-18.2836285910327,-18.1203648473596,0.163263743673067
209,2,"no","negation",8,-7.40507851320118,-8.57325138058032,-1.16817286737914
213,2,"no","negation",9,-12.4224967073289,-12.1345838759712,0.287912831357749
217,2,"no","negation",9,-21.1733042997905,-21.8255539358423,-0.652249636051781
218,2,"no","negation",8,-15.6028677845793,-16.7383428322855,-1.1354750477062
220,2,"no","negation",8,-18.2420930084554,-18.5390746961036,-0.296981687648167
221,2,"no","negation",8,-10.1622407396291,-9.87254917210992,0.28969156751922
222,2,"no","negation",8,-19.6332409359311,-20.0045680116855,-0.371327075754454
229,2,"no","negation",8,-14.7462930106884,-14.5348471569778,0.211445853710579
234,2,"no","negation",9,-8.70131644092697,-8.38626205881978,0.315054382107187
248,2,"no","negation",9,-11.4008352794385,-11.104894896641,0.295940382797491
255,2,"no","question",9,-19.3213615208701,-19.3139704640119,0.00739105685824271
256,2,"no","question",9,-17.5927132362551,-18.297061722648,-0.704348486392831
258,2,"no","question",9,-13.2740489464159,-13.8953238209778,-0.621274874561937
260,2,"no","question",9,-10.553902099634,-11.7184084108607,-1.16450631122675
262,2,"no","question",9,-15.8585685788369,-15.1996822240967,0.658886354740224
265,2,"yes","question",8,-17.3194480549275,-17.1206848613952,0.198763193532272
273,2,"yes","question",8,-6.45521763037866,-5.55328173726327,0.901935893115388
281,2,"yes","question",8,-13.191612298266,-12.7999743682206,0.391637930045333
287,2,"no","conditional",9,-15.9952837850543,-15.6478791453837,0.347404639670648
297,2,"no","question",9,-14.3753459286564,-14.017856480454,0.357489448202392
298,2,"no","question",9,-11.7700482085101,-11.5405362968381,0.229511911672013
301,2,"yes","question",8,-11.8647196392054,-12.4111533104164,-0.546433671211016
304,2,"yes","question",8,-15.8165718666548,-16.3380555861476,-0.521483719492837
307,2,"yes","question",8,-7.16030915586442,-6.49898424576144,0.661324910102987
314,2,"no","question",11,-17.5499440840711,-17.4197026681629,0.130241415908205
318,2,"no","question",11,-20.7610350923402,-21.4758781836186,-0.714843091278418
321,2,"no","question",10,-18.217787022249,-18.8676969872475,-0.6499099649985
327,2,"no","question",8,-14.5036303978669,-14.6139077495217,-0.110277351654847
336,2,"yes","conditional",8,-14.3194812145599,-14.0328126342916,0.286668580268262
344,2,"no","conditional",8,-21.0184501258207,-21.0030162233957,0.015433902424963
345,2,"no","conditional",11,-27.5109290587949,-28.1114693025015,-0.600540243706604
348,2,"no","conditional",9,-17.8857758939207,-17.9094393155027,-0.0236634215819649
349,2,"no","conditional",10,-8.5242113118692,-8.44241831197045,0.0817929998987434
350,2,"no","conditional",11,-17.7559340826241,-18.3674819107672,-0.611547828143053
352,2,"no","conditional",8,-11.8327000335891,-11.5050327005768,0.327667333012311
356,2,"no","conditional",9,-15.0099655917852,-14.6980224801221,0.311943111663092
361,2,"no","conditional",8,-11.1299993709697,-12.0382588070718,-0.908259436102139
370,2,"no","conditional",9,-17.24825820154,-17.2313016179848,0.0169565835551637
383,2,"no","conditional",9,-18.8292568608555,-18.7063133017753,0.122943559080156
386,2,"no","conditional",10,-14.2845737860122,-13.9578278874414,0.326745898570785
387,2,"no","conditional",9,-16.176810251716,-16.093249510272,0.0835607414439536
396,2,"no","modal",8,-15.1650406931034,-15.0290057400826,0.136034953020831
412,2,"no","conditional",8,-15.614016081823,-15.2371015332907,0.376914548532305
417,2,"yes","modal",9,-16.433786671118,-17.7342691631146,-1.30048249199666
422,2,"no","modal",8,-11.7798207383952,-11.8320007831237,-0.0521800447284217
424,2,"no","modal",9,-12.1677337709895,-12.2925585518801,-0.124824780890645
427,2,"no","modal",9,-17.6856065814524,-17.2605560114467,0.425050570005695
433,2,"yes","conditional",8,-12.7005934971864,-12.5631229858325,0.13747051135392
435,2,"yes","conditional",8,-12.239895565439,-12.0642007025645,0.175694862874431
436,2,"no","modal",8,-11.2903783625144,-11.1210239767289,0.169354385785496
437,2,"no","modal",8,-13.8238816659898,-13.3729662040131,0.450915461976674
439,2,"yes","conditional",8,-15.2350276659201,-15.2165773287322,0.0184503371879199
447,2,"yes","modal",9,-7.02702806771322,-6.71220523181751,0.314822835895707
452,2,"yes","conditional",8,-10.7066362058013,-10.6291211531152,0.0775150526860777
457,2,"yes","modal",9,-10.8875626252692,-10.0671607706278,0.820401854641357
458,2,"yes","modal",8,-4.40049738948676,-2.9152250347843,1.48527235470246
462,2,"no","conditional",9,-15.9851451664655,-15.2914359087817,0.693709257683768
463,2,"yes","conditional",8,-12.9590432549696,-12.8688605875874,0.0901826673822796
468,2,"yes","negation",10,-19.2210409681198,-18.7256010565603,0.495439911559416
470,2,"yes","negation",10,-18.0680255188332,-17.614831393834,0.453194124999278
474,2,"no","conditional",9,-13.1365752504788,-12.7822467777669,0.354328472711941
475,2,"yes","negation",9,-24.0688321600617,-23.8357080087826,0.233124151279036
487,2,"yes","negation",10,-19.3492586687662,-20.3114899273226,-0.962231258556471
493,2,"no","negation",10,-12.6868203923653,-12.3738133086977,0.313007083667562
516,2,"no","negation",8,-13.3271094429692,-12.8320542688439,0.495055174125286
520,2,"yes","negation",9,-15.953384365043,-15.5417606606079,0.411623704435081
533,2,"no","negation",10,-15.7689715039405,-15.507707218664,0.26126428527645
548,2,"no","negation",12,-16.2715410180904,-15.9767844841361,0.294756533954343
549,2,"no","negation",8,-13.9017213587626,-13.9514996177169,-0.0497782589543174
550,2,"no","negation",11,-16.8560165147507,-16.6931008332492,0.162915681501506
555,2,"no","negation",12,-22.4408579522243,-22.2017296180947,0.239128334129582
557,2,"no","negation",9,-16.5381778600944,-16.2663552157496,0.271822644344784
559,2,"no","negation",11,-16.1922115676059,-16.0025432467885,0.189668320817471
563,2,"no","negation",10,-21.7898392604333,-21.9992849794569,-0.209445719023602
567,2,"no","negation",8,-8.82938854595668,-8.56460624266234,0.264782303294341
572,2,"no","negation",10,-14.0050762794245,-13.83392003623,0.171156243194503
573,2,"no","negation",11,-20.628258798254,-20.7421807644912,-0.113921966237182
576,2,"no","negation",10,-19.3005131384736,-19.4697743301712,-0.16926119169764
577,2,"no","negation",8,-8.66251345647771,-8.34165065684331,0.320862799634403
578,2,"no","negation",9,-14.2229742336151,-14.0870437197034,0.135930513911649
580,2,"no","negation",12,-14.0619238683466,-13.6681876023995,0.393736265947123
584,2,"no","negation",9,-10.7247927723205,-10.4227447124268,0.302048059893663
585,2,"no","negation",9,-17.6729978827156,-18.9054685166852,-1.23247063396954
588,2,"yes","negation",10,-15.7030534667141,-15.2324953960338,0.470558070680303
589,2,"no","negation",9,-10.956416323299,-10.4836867554392,0.472729567859814
590,2,"no","negation",8,-13.5509532800029,-12.9473611020319,0.60359217797099
598,2,"no","negation",10,-12.9172149869913,-12.6519839697245,0.265231017266759
602,2,"no","negation",12,-18.7163515443151,-18.3975390893585,0.318812454956586
604,2,"no","negation",8,-13.4063889788249,-13.2737188446424,0.132670134182533
632,2,"no","modal",8,-11.8215189245937,-11.2439329720571,0.577585952536587
634,2,"no","negation",12,-17.4649970394406,-17.1316446299267,0.333352409513889
636,2,"no","negation",11,-16.7526392203682,-16.5383679894154,0.214271230952804
637,2,"no","negation",10,-13.9666162595882,-13.6273483214842,0.339267938104014
641,2,"yes","negation",10,-17.9913220990867,-17.5988517073426,0.392470391744109
653,2,"no","negation",9,-18.0301904029081,-18.0859800434048,-0.0557896404967124
657,2,"no","negation",9,-12.2666472570107,-11.9785199337496,0.288127323261021
658,2,"no","negation",10,-13.2171907722158,-12.8979172258647,0.319273546351106
663,2,"no","negation",8,-15.2297612331573,-15.0904642958276,0.139296937329679
664,2,"no","negation",8,-8.70096110389445,-8.36100684213604,0.339954261758413
675,2,"no","negation",10,-17.7570158071183,-17.6532268734359,0.103788933682409
684,2,"no","negation",9,-14.3332431467656,-14.1114114565263,0.221831690239295
688,2,"no","negation",12,-24.4758599397407,-24.2661735238765,0.209686415864159
708,2,"no","negation",12,-22.1618878393008,-22.1203884049394,0.0414994343613948
709,2,"no","modal",8,-14.9425121658391,-13.8115807041464,1.13093146169269
712,2,"no","negation",9,-9.8281730896012,-9.50433478259098,0.323838307010226
716,2,"yes","negation",8,-16.980147286242,-17.0002311878462,-0.0200839016042273
717,2,"no","negation",10,-20.2607609510853,-20.8035015624032,-0.542740611317857
719,2,"no","negation",12,-22.2731084316791,-22.4841073733764,-0.210998941697301
731,2,"no","negation",10,-15.3025241833211,-15.1241694241873,0.178354759133768
736,2,"yes","negation",8,-12.1325080400095,-11.7644841716416,0.368023868367974
743,2,"no","negation",11,-16.0771204168081,-15.8656423594858,0.211478057322356
751,2,"yes","modal",11,-14.1695180271133,-13.0702215641463,1.09929646296701
755,2,"no","negation",11,-14.8015452163755,-14.4912730013868,0.310272214988638
756,2,"no","negation",10,-14.1896971394995,-13.9935662849763,0.196130854523192
757,2,"no","negation",8,-14.6535228725687,-14.6393024011174,0.0142204714513472
782,2,"no","question",10,-13.2369666683215,-12.8441600838416,0.392806584479953
787,2,"no","question",12,-22.8735301478,-22.0294315952303,0.844098552569669
794,2,"no","question",10,-15.2403169539269,-14.8008084920346,0.439508461892277
796,2,"no","question",10,-16.2699700618152,-16.0220656627065,0.247904399108773
