sentence_id,sentence_text,wh_word,wh_lemma,wh_pos,wh_feats,wh_position,gap_position,gap_word,gap_lemma,gap_pos,linear_distance,deprel,deprel_subtype,enhanced_deps,num_enhanced_deps,intervening_clauses,direction
51,"There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like ""This time we will be the first to loot, we didn't get anything the last time"".",that,that,PRON,PronType=Rel,24,25,took,take,VERB,1,nsubj,NONE,23:ref,1,0,forward
53,"What irritates me is this sudden false 'solidarity' between Sunni and Shi'ite clerics, we all know that they would be glad to get at each others throats when they have the chance, and Shia clerics were describing Fallujan insurgents as 'Ba'athists', 'Saddamites', 'Wahhabis', and 'terrorists' just a few days ago.",What,what,PRON,PronType=Rel,1,9,solidarity,solidarity,NOUN,8,nsubj,NONE,2:nsubj;9:nsubj,2,1,forward
53,"What irritates me is this sudden false 'solidarity' between Sunni and Shi'ite clerics, we all know that they would be glad to get at each others throats when they have the chance, and Shia clerics were describing Fallujan insurgents as 'Ba'athists', 'Saddamites', 'Wahhabis', and 'terrorists' just a few days ago.",when,when,ADV,PronType=Int,32,34,have,have,VERB,2,advmod,NONE,34:advmod,1,0,forward
54,So what happened?,what,what,PRON,PronType=Int,2,3,happened,happen,VERB,1,nsubj,NONE,3:nsubj,1,0,forward
59,"He did once make an unforgivable error when he mentioned that Fallujan militants were shooting at the Marines from the roofs of mosques and houses in Hay Al-Golan, but of course that is okay for Al-Jazeera.",when,when,ADV,PronType=Int,8,10,mentioned,mention,VERB,2,advmod,NONE,10:advmod,1,0,forward
60,Someone who called himself Abu Hafs from the Ibn Al-Khattab Brigades (another new group) was on Al-Jazeera describing the enormous casualties among the Marines and he sweared that American soldiers were mutilating the bodies of dead insurgents.,who,who,PRON,PronType=Rel,2,3,called,call,VERB,1,nsubj,NONE,1:ref,1,0,forward
63,"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin, an Al-Qaeda operative in Saudi Arabia on an Islamic website 'the voice of Jihad', in which he stated that ""although mutilating dead bodies is not originally permitted in Islam, but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions"".",which,which,PRON,PronType=Rel,33,35,stated,state,VERB,2,obl,NONE,5:ref,1,0,forward
64,"He added that ""America does not understand anything except the language of force and retaliation, they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see"", and that ""the day will come when the dead bodies of Americans and Jews would be dragged, defiled, and stepped on in the Arabian peninsula together with their agents and supporters"".",when,when,ADV,PronType=Int,48,58,dragged,drag,VERB,10,advmod,NONE,58:advmod,1,0,forward
66,"We all know what happened, but even to this day, there are many different versions and opinions on how it happened and what effect Chernobyl will have on the health of people affected by the fallout.",what,what,PRON,PronType=Int,4,5,happened,happen,VERB,1,nsubj,NONE,5:nsubj,1,0,forward
66,"We all know what happened, but even to this day, there are many different versions and opinions on how it happened and what effect Chernobyl will have on the health of people affected by the fallout.",how,how,ADV,PronType=Int,21,23,happened,happen,VERB,2,advmod,NONE,23:advmod,1,0,forward
66,"We all know what happened, but even to this day, there are many different versions and opinions on how it happened and what effect Chernobyl will have on the health of people affected by the fallout.",what,what,DET,PronType=Int,25,26,effect,effect,NOUN,1,det,NONE,26:det,1,0,forward
70,It is a time to learn what happened and how it may affect the future.,what,what,PRON,PronType=Int,7,8,happened,happen,VERB,1,nsubj,NONE,8:nsubj,1,0,forward
70,It is a time to learn what happened and how it may affect the future.,how,how,ADV,PronType=Int,10,13,affect,affect,VERB,3,advmod,NONE,13:advmod,1,0,forward
72,This was heavily promoted by the Australasian Radiation Protection Society in a press release titled THE MYTHS OF CHERNOBYL which contained the following:,which,which,PRON,PronType=Rel,20,21,contained,contain,VERB,1,nsubj,NONE,14:ref,1,0,forward
76,"In the last decade, there has been a real and significant increase in childhood and, to a certain extent, adult carcinoma of the thyroid in contaminated regions of the former Soviet Union (Wi940) which should be attributed to the Chernobyl accident until proven otherwise.",which,which,PRON,PronType=Rel,39,42,attributed,attribute,VERB,3,nsubj:pass,pass,13:ref,1,0,forward
77,The prestigious IAEA (International Atomic Energy Agency) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects.,which,which,PRON,PronType=Rel,16,18,based,base,VERB,2,nsubj:pass,pass,13:ref,1,0,forward
78,"However, in April 2001, the IAEA published Fifteen Years after the Chernobyl Accident - Lessons learned. which contradict the earlier reports.",However,however,ADV,_,1,9,published,publish,VERB,8,advmod,NONE,9:advmod,1,1,forward
78,"However, in April 2001, the IAEA published Fifteen Years after the Chernobyl Accident - Lessons learned. which contradict the earlier reports.",which,which,PRON,PronType=Rel,20,21,contradict,contradict,VERB,1,nsubj,NONE,17:ref,1,0,forward
80,"The dramatic increase in radiation-induced thyroid cancers in children and adolescents in Belarus, Russia, and Ukraine, which have been observed since 1991, continues to this day.",which,which,PRON,PronType=Rel,22,25,observed,observe,VERB,3,nsubj:pass,pass,3:ref,1,0,forward
83,"As a parent, I can well imagine how painful it must be for those families whose children are succumbing to radiation poisoning.",how,how,ADV,PronType=Int,9,10,painful,painful,ADJ,1,advmod,NONE,10:advmod,1,0,forward
83,"As a parent, I can well imagine how painful it must be for those families whose children are succumbing to radiation poisoning.",whose,whose,PRON,Poss=Yes|PronType=Rel,17,18,children,child,NOUN,1,nmod:poss,poss,16:ref,1,0,forward
88,These links present the many viewpoints that existed and still exist about the disaster called Chernobyl:,that,that,PRON,PronType=Rel,7,8,existed,exist,VERB,1,nsubj,NONE,6:ref,1,0,forward
115,I would be interested in hearing what conclusions you reached and what you found that was most convincing.,what,what,DET,PronType=Int,7,8,conclusions,conclusion,NOUN,1,det,NONE,8:det,1,0,forward
115,I would be interested in hearing what conclusions you reached and what you found that was most convincing.,what,what,PRON,PronType=Int,12,14,found,find,VERB,2,obj,NONE,14:obj;18:nsubj,2,0,forward
115,I would be interested in hearing what conclusions you reached and what you found that was most convincing.,that,that,PRON,PronType=Rel,15,18,convincing,convincing,ADJ,3,nsubj,NONE,12:ref,1,0,forward
117,As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy (primitive at best!) and stopped when a lesion on my neck started enlarging--they said it was not CA but stopped the treatments....,when,when,ADV,PronType=Int,29,35,started,start,VERB,6,advmod,NONE,35:advmod,1,0,forward
118,Remember the old shoe sizing machines that was a form of radiation xray?,that,that,PRON,PronType=Rel,7,10,form,form,NOUN,3,nsubj,NONE,6:ref,1,0,forward
120,Don't have to mention what radiation has done and is still doing to Hirsohima & Nagaski folks--there can be no doubts about the effects of radiation in Chernobyl.......,what,what,PRON,PronType=Int,6,9,done,do,VERB,3,obj,NONE,9:obj,1,0,forward
122,"One of them is the Rest and Recuperation Program, wherein a child can come to the US for a few weeks in the summer.",wherein,wherein,ADV,PronType=Rel,11,15,come,come,VERB,4,advmod,NONE,9:ref,1,0,forward
124,S. and I have an acquaintance who has hosted several of these children for many years; to see these little ones breaks the heart.,who,who,PRON,PronType=Rel,7,9,hosted,host,VERB,2,nsubj,NONE,6:ref,1,0,forward
128,What do the new al-Qaeda videotape and audio speeches of Bin Laden and Ayman al-Zawahiri tell us about the hopes of the remaining top leadership of the organization?,What,what,PRON,PronType=Int,1,20,tell,tell,VERB,19,obj,NONE,20:obj,1,0,forward
131,"These are 1) Assassinate or overthrow Gen. Pervez Musharraf, the Pakistani military ""president"" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al-Qaeda.",who,who,PRON,PronType=Rel,18,20,made,make,VERB,2,nsubj,NONE,16:ref,1,0,forward
133,"His military intelligence has captured major figures like Abu Zubayda and Khalid Shaykh Muhammad, as well as nearly 500 other al-Qaeda operatives, over 400 of whom the Pakistanis have turned over to the US.",whom,whom,PRON,PronType=Rel,30,28,400,400,NUM,2,nmod,NONE,25:ref,1,0,backward
134,"Musharraf held elections in October of 2002, in which center-right parties did well, but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition, MMA.",which,which,PRON,PronType=Rel,10,15,did,do,VERB,5,obl,NONE,3:ref,1,0,forward
134,"Musharraf held elections in October of 2002, in which center-right parties did well, but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition, MMA.",which,which,PRON,PronType=Rel,20,27,went,go,VERB,7,obl,NONE,3:ref,1,0,forward
135,"MMA also captured the Northwest Frontier Province, which probably shelters Bin Laden and al-Zawahiri, and is in a joint government of Baluchistan Province, also on the Afghanistan border.",which,which,PRON,PronType=Rel,9,11,shelters,shelter,VERB,2,nsubj,NONE,7:ref,1,0,forward
137,"They would thereby gain control of a major base for terrorist operations, which is also a nuclear power.",which,which,PRON,PronType=Rel,14,19,power,power,NOUN,5,nsubj,NONE,9:ref,1,0,forward
140,Response: The US must do whatever it can to strengthen the legitimacy of the Pakistani government.,whatever,whatever,PRON,PronType=Rel,7,6,do,do,VERB,1,obj,NONE,6:obj,1,0,backward
141,"On the one hand, it should pressure Musharraf to take off his uniform and run for president in a fair election, and to repeal the contentious ""Legal Framework Order"" that essentially perpetuates his dictatorship.",that,that,PRON,PronType=Rel,34,36,perpetuates,perpetuate,VERB,2,nsubj,NONE,32:ref,1,0,forward
142,"On the other, restrictions should be lifted on the mainstream Muslim League-N and Pakistan People's Party, who can defeat the MMA in fair elections if not hogtied by the secret police.",who,who,PRON,PronType=Rel,22,24,defeat,defeat,VERB,2,nsubj,NONE,13:ref,1,0,forward
151,"Sharon's hard line has worked in tandem with Hamas's terrorism to ratchet up tensions further and further, which spill over into the Muslim world and serve as a recruiting tool for al-Qaeda in its search for agents willing to hit the United States.",which,which,PRON,PronType=Rel,21,22,spill,spill,VERB,1,nsubj,NONE,16:ref,1,0,forward
164,"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so this sort of cheap shot just hoists him by his own petard.",when,when,ADV,PronType=Int,16,18,ran,run,VERB,2,advmod,NONE,18:advmod,1,0,forward
176,"""Can you name the general who is in charge of Pakistan?""",who,who,PRON,PronType=Rel,7,10,charge,charge,NOUN,3,nsubj,NONE,6:ref,1,0,forward
177,"Hiller asked, inquiring about Gen. Pervaiz Musharraf, who seized control of the country October 12.",who,who,PRON,PronType=Rel,10,11,seized,seize,VERB,1,nsubj,NONE,7:ref,1,0,forward
184,"""Further, I find it even more disturbing that he made these comments about a nation that just last year tested nuclear weapons -- shortly after voicing his public opposition to the Comprehensive Test Ban Treaty.",that,that,PRON,PronType=Rel,18,22,tested,test,VERB,4,nsubj,NONE,17:ref,1,1,forward
187,"Not only did Bush not know who General Pervez Musharraf was, he seems to have confused coup-making with ""taking office,"" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military, then the world's strongest supporter of the Taliban, would bring ""stability!""",who,who,PRON,PronType=Int,7,6,know,know,VERB,1,ccomp,NONE,6:ccomp,1,0,backward
189,I can't tell you how ominous I found Bush's performance in that interview.,how,how,ADV,PronType=Int,6,7,ominous,ominous,ADJ,1,advmod,NONE,7:advmod,1,0,forward
191,"He obviously had no idea what he was talking about, though he demonstrated a number of ill-fated instincts.",what,what,PRON,PronType=Int,6,9,talking,talk,VERB,3,obl,NONE,9:obl:about,1,0,forward
194,He couldn't tell when things were becoming more unstable as opposed to less.,when,when,ADV,PronType=Int,5,8,becoming,become,VERB,3,advmod,NONE,8:advmod,1,0,forward
197,"This was the body that Bush proclaimed was bringing ""stability"" to the region in fall of 1999.",that,that,PRON,PronType=Rel,5,9,bringing,bring,VERB,4,nsubj,NONE,4:ref,1,1,forward
200,"Indeed, given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US, one might well argue that Edwards knows more now than Bush does.",how,how,ADV,PronType=Int,4,7,rampaged,rampage,VERB,3,advmod,NONE,7:advmod,1,0,forward
208,"Israel, however, is much closer to Iraq and is likely to suffer from Iraqi instability much more acutely than will the United States.",however,however,ADV,_,3,7,closer,close,ADJ,4,advmod,NONE,7:advmod,1,0,forward
210,"Have they, however, actually weakened Israeli security?",however,however,ADV,_,4,7,weakened,weaken,VERB,3,advmod,NONE,7:advmod,1,0,forward
215,"It is estimated to have some 5,000 armed fighters, and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms, a sliver of Syrian territory that Israel annexed after the 1967 war.",that,that,PRON,PronType=Rel,34,36,annexed,annex,VERB,2,obj,NONE,30:ref,1,0,forward
218,The Palestinians who have been willing to kill themselves to end the Israeli occupation of the Gaza Strip and the West Bank were not driven by economic considerations.,who,who,PRON,PronType=Rel,3,6,willing,willing,ADJ,3,nsubj,NONE,2:ref,1,0,forward
224,"If it is hard to see how Baathist Iraq posed any real threat to Israel, it is not so difficult to see a menace in the current instability.",how,how,ADV,PronType=Int,7,10,posed,pose,VERB,3,advmod,NONE,10:advmod,1,0,forward
227,"The US chose to ally itself with such groups as the Supreme Council for the Islamic Revolution in Iraq, whose 15,000-strong Badr Corps paramilitary was trained by the Iranian Revolutionary Guards.",whose,whose,PRON,Poss=Yes|PronType=Rel,21,27,paramilitary,paramilitary,NOUN,6,nmod:poss,poss,13:ref,1,0,forward
229,"The more radical Shiites, who generally follow the theocratic notions of Iran's Ayatollah Ruhollah Khomeini, routinely chant and demonstrate against Israel.",who,who,PRON,PronType=Rel,6,8,follow,follow,VERB,2,nsubj,NONE,4:ref,1,0,forward
231,"Worse for Israel, the assassination drew a denunciation even from the moderate and cautious Grand Ayatollah Ali Sistani, who wields enormous moral authority over Iraqi Shiites.",who,who,PRON,PronType=Rel,21,22,wields,wield,VERB,1,nsubj,NONE,18:ref,1,0,forward
236,"Iraqi cities such as Fallujah and Ramadi were on the truck route from Amman to Baghdad, and so came under the influence of the Salafi movement, which is popular in Jordan.",which,which,PRON,PronType=Rel,29,31,popular,popular,ADJ,2,nsubj,NONE,27:ref,1,0,forward
239,An Iraq in which armed fundamentalist and nationalist militias proliferate is inevitably a security worry for Israel.,which,which,PRON,PronType=Rel,4,10,proliferate,proliferate,VERB,6,obl,NONE,2:ref,1,0,forward
242,"Israel's security interests are best served by peace with its neighbors, which can only be achieved by trading land for peace with the Palestinians.",which,which,PRON,PronType=Rel,14,18,achieved,achieve,VERB,4,nsubj:pass,pass,9:ref,1,0,forward
250,And this has already drawn protests from the Tamil National Alliance (TNA) which was backed by the LTTE in the April general elections held in Sri Lanka.,which,which,PRON,PronType=Rel,15,17,backed,back,VERB,2,nsubj:pass,pass,11:ref,1,0,forward
251,"Apart from the 1,200 Indian lives lost in 1987, the Indian peacekeeping force was immensely unpopular not only in Tamil Nadu and the Jaffna peninsula but also among the Sinhalese majority who considered it a violation of their country's sovereignty.",who,who,PRON,PronType=Rel,33,34,considered,consider,VERB,1,nsubj,NONE,32:ref,1,0,forward
255,"While India is ready to enter into a ""defense cooperation agreement"" with Sri Lanka, it is wary of being drawn into any military involvement in the island nation's two decades-old civil war that has seen violent strife between ethnic Tamils and the Sinhalese majority - leaving over 60,000 dead on both sides.",that,that,PRON,PronType=Rel,39,41,seen,see,VERB,2,nsubj,NONE,38:ref,1,0,forward
256,And that explains the delay in the signing of a formal defense agreement that was at the heart of Sri Lankan President Chandrika Kumaratunga's four-day visit to India recently.,that,that,PRON,PronType=Rel,14,18,heart,heart,NOUN,4,nsubj,NONE,13:ref,1,0,forward
263,Kumaratunga's India tour preceded a three-day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002.,that,that,PRON,PronType=Rel,29,31,supposed,suppose,VERB,2,nsubj:pass,pass,28:ref,1,0,forward
263,Kumaratunga's India tour preceded a three-day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002.,that,that,PRON,PronType=Rel,36,39,brokered,broker,VERB,3,obj,NONE,35:ref,1,0,forward
268,A veteran of India's military intervention in the Jaffna peninsula to help implement the 1987 Indo-Sri Lanka Peace Accord - which ambitiously provided for the disarming of the formidable LTTE - Kalkat said the new defense deal would essentially be a reiteration of the older one minus its military commitment.,which,which,PRON,PronType=Rel,24,26,provided,provide,VERB,2,nsubj,NONE,22:ref,1,0,forward
269,"Kalkat, who currently chairs the independent US-based International Council on Conflict Resolution, said despite the failure of the Indian army to disarm or even subdue the Tigers, India remained the only power capable of influencing the course of the current peace talks.",who,who,PRON,PronType=Rel,3,5,chairs,chair,VERB,2,nsubj,NONE,1:ref,1,0,forward
273,"However, differences between India and LTTE soon surfaced and led to clashes between Tiger guerrillas and the Indian peace keeping force.",However,however,ADV,_,1,9,surfaced,surface,VERB,8,advmod,NONE,9:advmod,1,0,forward
277,"Japan's special envoy, Yasushi Akashi, who called for tangible progress in the peace process before the money would be released, came back from visits to Colombo and Kilinochchi in early November a frustrated man.",who,who,PRON,PronType=Rel,9,10,called,call,VERB,1,nsubj,NONE,4:ref,1,0,forward
281,And this has already drawn protests from the Tamil National Alliance (TNA) which was backed by the LTTE in the April general elections held in Sri Lanka.,which,which,PRON,PronType=Rel,15,17,backed,back,VERB,2,nsubj:pass,pass,11:ref,1,0,forward
285,"Apart from the 1,200 Indian lives lost in 1987, the Indian peacekeeping force was immensely unpopular not only in Tamil Nadu and the Jaffna peninsula but also among the Sinhalese majority who considered it a violation of their country's sovereignty.",who,who,PRON,PronType=Rel,33,34,considered,consider,VERB,1,nsubj,NONE,32:ref,1,0,forward
287,"In any case, Kalkat puts it succinctly: ""There cannot be a military option to what is a political situation.""",what,what,PRON,PronType=Rel,19,17,option,option,NOUN,2,nmod,NONE,17:nmod:to;23:nsubj,2,0,backward
289,"Unreported by the international media, the Valley of Kashmir has seen an ethnic and cultural genocide that has resulted in the fleeing from the valley of almost all the Hindu families who have been living there since human habitation was first recorded.",that,that,PRON,PronType=Rel,18,20,resulted,result,VERB,2,nsubj,NONE,17:ref,1,0,forward
289,"Unreported by the international media, the Valley of Kashmir has seen an ethnic and cultural genocide that has resulted in the fleeing from the valley of almost all the Hindu families who have been living there since human habitation was first recorded.",who,who,PRON,PronType=Rel,33,36,living,live,VERB,3,nsubj,NONE,32:ref,1,0,forward
290,"Over nine dozen temples that had served the Hindu population have been destroyed, with some used as building material and others as urinals.",that,that,PRON,PronType=Rel,5,7,served,serve,VERB,2,nsubj,NONE,4:ref,1,0,forward
294,"While most U.S. secretaries of state -- save perhaps Dean Rusk -- have gobbled up credit for outcomes that they had little to do with, few have been as brazen as Colin Powell.",that,that,PRON,PronType=Rel,19,24,do,do,VERB,5,obl,NONE,18:ref,1,2,forward
295,"Two years ago, Pakistani President Pervez Musharraf was surprised when the leader of the main Islamist alliance -- Maulana Fazlur Rahman -- visited India and issued a series of highly conciliatory statements.",when,when,ADV,PronType=Int,11,24,visited,visit,VERB,13,advmod,NONE,24:advmod,1,0,forward
299,"Realists, and this even includes members of the U.S. Democratic foreign policy establishment such as Strobe Talbott, who have long sought to divest India of its defensive capability against another nuclear power in Asia, understand the only feasible solution for Kashmir is the acceptance of the status quo.",who,who,PRON,PronType=Rel,20,23,sought,seek,VERB,3,nsubj,NONE,7:ref,1,0,forward
300,India keeps what it has while Pakistan and China (which was gifted a slice of the territory three decades ago) do likewise.,what,what,PRON,PronType=Int,3,5,has,have,VERB,2,obj,NONE,5:obj,1,0,forward
300,India keeps what it has while Pakistan and China (which was gifted a slice of the territory three decades ago) do likewise.,which,which,PRON,PronType=Rel,11,13,gifted,gift,VERB,2,nsubj:pass,pass,9:ref,1,0,forward
301,"Simultaneously, New Delhi would ensure a degree of autonomy for the state that would help cut popular support off from jihadis attempting to convert Kashmir into a second Afghanistan.",that,that,PRON,PronType=Rel,14,16,help,help,VERB,2,nsubj,NONE,8:ref,1,0,forward
302,"Bill Clinton understood this at the end of his term in office yet, under Colin Powell (who appears to have an affinity for generals active in politics), the pendulum of U.S. policy has once again swung toward a quixotic effort to prize at least the Valley of Kashmir loose from India.",who,who,PRON,PronType=Rel,19,20,appears,appear,VERB,1,nsubj,NONE,16:ref,1,0,forward
303,"This, Pakistan's lobbyist in Washington Christina Rocca has been told, is the ""minimum"" that the Pakistan army will accept.",that,that,PRON,PronType=Rel,19,24,accept,accept,VERB,5,obj,NONE,17:ref,1,0,forward
304,It is also far more than what any administration in New Delhi can deliver.,what,what,PRON,PronType=Rel,7,5,more,more,ADJ,2,obl,NONE,5:obl:than;14:obj,2,0,backward
306,"With luck, the Kashmir Valley can attract investment from the Middle East and other locations where Muslims are dominant and become a tourist, education and services haven within India.",where,where,ADV,PronType=Rel,17,20,dominant,dominant,ADJ,3,advmod,NONE,16:ref,1,0,forward
307,"The overwhelming majority of Muslims in Kashmir would be happy with such an outcome, except for the tiny jihadi segment patronized by the U.S. State Department and the Pakistan Army, which would like to even the score with India for their catastrophic defeat in Bangladesh in 1971.",which,which,PRON,PronType=Rel,33,35,like,like,VERB,2,nsubj,NONE,21:ref,1,0,forward
308,"Unreported by the international media, the Valley of Kashmir has seen an ethnic and cultural genocide that has resulted in the fleeing from the valley of almost all the Hindu families who have been living there since human habitation was first recorded.",that,that,PRON,PronType=Rel,18,20,resulted,result,VERB,2,nsubj,NONE,17:ref,1,0,forward
308,"Unreported by the international media, the Valley of Kashmir has seen an ethnic and cultural genocide that has resulted in the fleeing from the valley of almost all the Hindu families who have been living there since human habitation was first recorded.",who,who,PRON,PronType=Rel,33,36,living,live,VERB,3,nsubj,NONE,32:ref,1,0,forward
309,"Over nine dozen temples that had served the Hindu population have been destroyed, with some used as building material and others as urinals.",that,that,PRON,PronType=Rel,5,7,served,serve,VERB,2,nsubj,NONE,4:ref,1,0,forward
312,"Despite Sept. 11, the United States still supports the Kashmir groups that back jihad as part of the price Washington is paying to keep Pervez Musharraf happy.",that,that,PRON,PronType=Rel,13,14,back,back,VERB,1,nsubj,NONE,12:ref,1,0,forward
313,"Unfortunately for them, the general has decided to take seriously Colin Powell's frequent boasts that it was on his nudging that the Indians made conciliatory gestures toward Islamabad.",that,that,PRON,PronType=Rel,23,26,made,make,VERB,3,obl,NONE,22:ref,1,0,forward
314,"The U.S. State Department and the misnamed think tanks that follow its lead have held numerous conferences on Kashmir and, in most of them, the solution that has emerged is a valley prized loose from Indian control and under its own version of Ibrahim Rugova.",that,that,PRON,PronType=Rel,10,11,follow,follow,VERB,1,nsubj,NONE,9:ref,1,0,forward
314,"The U.S. State Department and the misnamed think tanks that follow its lead have held numerous conferences on Kashmir and, in most of them, the solution that has emerged is a valley prized loose from Indian control and under its own version of Ibrahim Rugova.",that,that,PRON,PronType=Rel,29,31,emerged,emerge,VERB,2,nsubj,NONE,28:ref,1,0,forward
315,"That India is not Yugoslavia and that the ""foreigner-led"" Indian National Congress can least afford to ignore Indian nationalism, has not struck the conferees, among whom have been several Indian ""scholars"" and ""analysts"" ready to say and endorse anything for the sake of a free trip to New York or Vienna.",whom,whom,PRON,PronType=Rel,32,29,conferees,conferee,NOUN,3,acl:relcl,relcl,29:acl:relcl,1,0,backward
316,"Despite many wrinkles, India remains a part-democracy and merely signing on to a piece of paper that calls for an independent Kashmir does not get you into the trouble that writing an op-ed piece against Sonia Gandhi or Atal Behari Vajpayee would instantly.",that,that,PRON,PronType=Rel,20,21,calls,call,VERB,1,nsubj,NONE,17:ref,1,0,forward
316,"Despite many wrinkles, India remains a part-democracy and merely signing on to a piece of paper that calls for an independent Kashmir does not get you into the trouble that writing an op-ed piece against Sonia Gandhi or Atal Behari Vajpayee would instantly.",that,that,PRON,PronType=Rel,33,47,would,would,AUX,14,obl,NONE,32:ref,1,0,forward
317,"It was the business community in India that stepped in after Vajpayee indulged in an empty bout of saber rattling in 2002, pointing out that the only beneficiary of the mythical perception that war -- especially nuclear war -- was around the corner in the subcontinent was China.",that,that,PRON,PronType=Rel,8,9,stepped,step,VERB,1,nsubj,NONE,5:ref,1,0,forward
318,"The reason for this is that India is emerging as an alternative investment destination to China, hence the favor that the generals in Islamabad do to their trusty supplier of nukes and missiles by creating a scare about war involving India when in fact the real flashpoints are the Taiwan Straits and North Korea.",that,that,PRON,PronType=Rel,21,26,do,do,VERB,5,obj,NONE,20:ref,1,0,forward
318,"The reason for this is that India is emerging as an alternative investment destination to China, hence the favor that the generals in Islamabad do to their trusty supplier of nukes and missiles by creating a scare about war involving India when in fact the real flashpoints are the Taiwan Straits and North Korea.",when,when,ADV,PronType=Int,43,52,Straits,Strait,PROPN,9,advmod,NONE,52:advmod,1,0,forward
319,"Since then, India has talked peace while always signaling that only the status quo would be acceptable as a final settlement: a line of action that is followed in the case of disputes with China as well.",that,that,PRON,PronType=Rel,28,30,followed,follow,VERB,2,nsubj:pass,pass,25:ref,1,0,forward
321,"Once the Manmohan Singh government shows that it has little appetite for suicide, Musharraf will face the moment of truth: accept the inevitable, or once again ramp up the insurgency and spawn a fresh lot of killers that can hit not merely Mumbai and New Delhi but London and Chicago as well.",that,that,PRON,PronType=Rel,41,43,hit,hit,VERB,2,nsubj,NONE,40:ref,1,0,forward
322,The one country that has shown that it understands the realities in South Asia is China.,that,that,PRON,PronType=Rel,4,6,shown,show,VERB,2,nsubj,NONE,3:ref,1,0,forward
323,"Under President Hu Jintao, Beijing has opened out to New Delhi and Prime Minister Wen Jiabao is expected to visit early next year, making friends by formally accepting Sikkim as part of India and backing India as a permanent member of the U.N. Security Council -- thus leaving Washington as the only one of the ""permanent five"" that has not yet done so.",that,that,PRON,PronType=Rel,62,66,done,do,VERB,4,nsubj,NONE,55:ref,1,0,forward
